,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 19:14:51.226717,"(66.1500015258789, -1.5, 9.437999725341797)","(47.10000228881836, 33.0, 46.4640007019043)","(38.70000076293945, 82.20000457763672, 86.87799835205078)","(-44.400001525878906, -22.05000114440918, 166.97999572753906)","(49.650001525878906, 36.45000076293945, 103.57599639892578)","(17.25, 30.600000381469727, 101.88199615478516)","(4.350000381469727, 25.500001907348633, 30.007999420166016)","(35.85000228881836, 30.000001907348633, 75.50399780273438)"
1,2022-12-11 19:14:51.271981,"(65.55000305175781, -1.9500000476837158, 11.131999969482422)","(45.900001525878906, 32.10000228881836, 46.22200012207031)","(39.30000305175781, 82.35000610351562, 84.45800018310547)","(-43.95000076293945, -22.350000381469727, 166.73800659179688)","(49.80000305175781, 36.45000076293945, 104.05999755859375)","(16.80000114440918, 30.30000114440918, 101.39800262451172)","(3.6000001430511475, 24.750001907348633, 30.97599983215332)","(35.70000076293945, 29.850000381469727, 75.26200103759766)"
2,2022-12-11 19:14:51.316462,"(66.1500015258789, 0.15000000596046448, 11.616000175476074)","(47.25, 33.75, 43.07600021362305)","(38.85000228881836, 82.5, 86.63600158691406)","(-43.20000076293945, -22.950000762939453, 166.49600219726562)","(50.250003814697266, 36.150001525878906, 104.05999755859375)","(17.400001525878906, 30.30000114440918, 100.18799591064453)","(3.450000047683716, 25.350000381469727, 29.52400016784668)","(35.400001525878906, 29.700000762939453, 74.77799987792969)"
3,2022-12-11 19:14:51.406652,"(66.60000610351562, 2.25, 13.552000045776367)","(46.05000305175781, 32.55000305175781, 46.70600128173828)","(41.55000305175781, 82.80000305175781, 87.84600067138672)","(-43.80000305175781, -23.25, 165.5279998779297)","(49.35000228881836, 36.60000228881836, 103.33399963378906)","(17.25, 30.450000762939453, 100.91400146484375)","(3.450000047683716, 25.500001907348633, 30.25)","(35.85000228881836, 30.000001907348633, 75.50399780273438)"
4,2022-12-11 19:14:51.451823,"(66.1500015258789, 0.45000001788139343, 11.857999801635742)","(47.85000228881836, 34.650001525878906, 45.012001037597656)","(41.55000305175781, 81.0, 86.87799835205078)","(-42.75, -22.350000381469727, 166.25399780273438)","(50.10000228881836, 36.75, 103.33399963378906)","(17.100000381469727, 30.750001907348633, 100.91400146484375)","(3.3000001907348633, 25.650001525878906, 29.281999588012695)","(35.55000305175781, 29.850000381469727, 75.50399780273438)"
5,2022-12-11 19:14:51.541959,"(67.20000457763672, -0.30000001192092896, 11.37399959564209)","(46.5, 34.20000076293945, 44.77000045776367)","(40.80000305175781, 81.30000305175781, 87.12000274658203)","(-43.95000076293945, -21.600000381469727, 165.5279998779297)","(49.650001525878906, 36.150001525878906, 102.8499984741211)","(17.400001525878906, 30.150001525878906, 100.91400146484375)","(3.750000238418579, 25.350000381469727, 29.766000747680664)","(35.25, 30.30000114440918, 75.50399780273438)"
6,2022-12-11 19:14:51.586501,"(68.10000610351562, 0.15000000596046448, 11.857999801635742)","(47.70000076293945, 34.05000305175781, 44.2859992980957)","(38.55000305175781, 82.80000305175781, 87.60399627685547)","(-44.55000305175781, -21.600000381469727, 165.28599548339844)","(49.500003814697266, 36.60000228881836, 103.33399963378906)","(17.700000762939453, 31.05000114440918, 101.39800262451172)","(3.9000000953674316, 25.05000114440918, 29.281999588012695)","(35.10000228881836, 29.400001525878906, 75.26200103759766)"
7,2022-12-11 19:14:51.631157,"(66.45000457763672, -0.9000000357627869, 12.583999633789062)","(46.05000305175781, 33.900001525878906, 43.31800079345703)","(40.35000228881836, 82.80000305175781, 86.63600158691406)","(-46.35000228881836, -22.5, 164.802001953125)","(49.95000076293945, 36.75, 102.8499984741211)","(16.950000762939453, 30.750001907348633, 100.91400146484375)","(3.6000001430511475, 25.650001525878906, 29.52400016784668)","(35.400001525878906, 30.30000114440918, 74.77799987792969)"
8,2022-12-11 19:14:51.721633,"(70.20000457763672, 0.15000000596046448, 11.857999801635742)","(46.650001525878906, 34.650001525878906, 45.25400161743164)","(41.70000076293945, 81.1500015258789, 84.69999694824219)","(-45.45000076293945, -22.350000381469727, 166.97999572753906)","(49.500003814697266, 36.45000076293945, 103.57599639892578)","(17.100000381469727, 30.750001907348633, 100.43000030517578)","(3.450000047683716, 24.750001907348633, 28.555999755859375)","(35.10000228881836, 30.450000762939453, 75.0199966430664)"
9,2022-12-11 19:14:51.766486,"(67.80000305175781, -0.45000001788139343, 9.92199993133545)","(46.35000228881836, 32.85000228881836, 45.012001037597656)","(40.650001525878906, 81.60000610351562, 89.54000091552734)","(-44.10000228881836, -21.450000762939453, 164.802001953125)","(49.20000076293945, 36.60000228881836, 103.09200286865234)","(17.400001525878906, 31.05000114440918, 100.6719970703125)","(3.750000238418579, 25.05000114440918, 29.766000747680664)","(35.25, 30.750001907348633, 76.2300033569336)"
10,2022-12-11 19:14:51.811532,"(68.85000610351562, -2.1000001430511475, 11.37399959564209)","(48.900001525878906, 36.150001525878906, 42.59199905395508)","(39.45000076293945, 81.60000610351562, 83.9739990234375)","(-44.85000228881836, -21.900001525878906, 166.01199340820312)","(49.35000228881836, 36.45000076293945, 103.09200286865234)","(17.25, 30.750001907348633, 100.91400146484375)","(2.8500001430511475, 25.350000381469727, 29.766000747680664)","(35.85000228881836, 29.850000381469727, 75.50399780273438)"
