,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 19:13:39.496867,"(-75.30000305175781, 75.1500015258789, 171.8199920654297)","(-15.15000057220459, 44.10000228881836, 92.9280014038086)","(5.850000381469727, 139.5, 100.6719970703125)","(52.05000305175781, 91.05000305175781, 19.601999282836914)","(39.150001525878906, 47.70000076293945, 87.84600067138672)","(-0.45000001788139343, 66.75, 75.98799896240234)","(-9.600000381469727, 61.95000076293945, 22.989999771118164)","(42.45000076293945, 60.900001525878906, 108.9000015258789)"
1,2022-12-11 19:13:39.541662,"(-76.20000457763672, 74.85000610351562, 170.8520050048828)","(-16.650001525878906, 43.20000076293945, 93.41200256347656)","(4.650000095367432, 138.90000915527344, 100.18799591064453)","(52.95000076293945, 91.35000610351562, 20.812000274658203)","(38.85000228881836, 48.0, 88.33000183105469)","(0.15000000596046448, 66.75, 77.44000244140625)","(-10.350000381469727, 62.400001525878906, 22.989999771118164)","(42.60000228881836, 60.30000305175781, 108.9000015258789)"
2,2022-12-11 19:13:39.631328,"(-74.85000610351562, 72.9000015258789, 172.3040008544922)","(-15.750000953674316, 42.75, 93.89599609375)","(5.700000286102295, 141.0, 100.6719970703125)","(53.10000228881836, 91.05000305175781, 19.601999282836914)","(39.150001525878906, 47.85000228881836, 87.84600067138672)","(0.45000001788139343, 67.20000457763672, 75.50399780273438)","(-10.050000190734863, 62.70000076293945, 22.263999938964844)","(42.30000305175781, 60.750003814697266, 108.41600036621094)"
3,2022-12-11 19:13:39.676667,"(-75.1500015258789, 73.35000610351562, 173.02999877929688)","(-15.450000762939453, 44.55000305175781, 93.16999816894531)","(6.0, 138.15000915527344, 100.6719970703125)","(53.250003814697266, 88.20000457763672, 22.989999771118164)","(39.0, 48.0, 88.08799743652344)","(0.45000001788139343, 66.75, 76.95600128173828)","(-10.800000190734863, 63.000003814697266, 23.4739990234375)","(42.60000228881836, 60.750003814697266, 109.14199829101562)"
4,2022-12-11 19:13:39.765925,"(-75.60000610351562, 72.9000015258789, 171.8199920654297)","(-16.350000381469727, 42.150001525878906, 92.68599700927734)","(6.0, 140.25, 98.4939956665039)","(51.60000228881836, 92.70000457763672, 20.812000274658203)","(39.150001525878906, 47.85000228881836, 87.84600067138672)","(0.45000001788139343, 66.60000610351562, 76.95600128173828)","(-10.200000762939453, 62.250003814697266, 22.263999938964844)","(42.60000228881836, 60.60000228881836, 109.38400268554688)"
5,2022-12-11 19:13:39.811700,"(-75.30000305175781, 73.95000457763672, 171.5780029296875)","(-15.90000057220459, 44.400001525878906, 93.65399932861328)","(6.150000095367432, 139.5, 102.60800170898438)","(53.10000228881836, 91.80000305175781, 21.780000686645508)","(39.0, 48.0, 88.81400299072266)","(0.45000001788139343, 66.9000015258789, 75.98799896240234)","(-10.65000057220459, 61.650001525878906, 21.053998947143555)","(42.30000305175781, 60.150001525878906, 108.17399597167969)"
6,2022-12-11 19:13:39.856353,"(-73.80000305175781, 73.05000305175781, 172.3040008544922)","(-14.700000762939453, 43.5, 91.95999908447266)","(4.950000286102295, 140.25, 99.22000122070312)","(51.150001525878906, 91.6500015258789, 20.56999969482422)","(39.30000305175781, 47.70000076293945, 87.84600067138672)","(0.0, 66.45000457763672, 76.47200012207031)","(-9.90000057220459, 61.80000305175781, 21.538000106811523)","(43.05000305175781, 60.150001525878906, 109.14199829101562)"
7,2022-12-11 19:13:39.901306,"(-75.45000457763672, 75.30000305175781, 173.75599670410156)","(-16.350000381469727, 42.150001525878906, 90.99199676513672)","(4.950000286102295, 138.75, 98.25199890136719)","(52.80000305175781, 92.10000610351562, 22.74799919128418)","(39.45000076293945, 48.0, 88.33000183105469)","(0.15000000596046448, 66.9000015258789, 76.47200012207031)","(-11.550000190734863, 61.80000305175781, 21.780000686645508)","(42.30000305175781, 60.60000228881836, 109.38400268554688)"
8,2022-12-11 19:13:39.991487,"(-75.45000457763672, 73.80000305175781, 171.33599853515625)","(-15.750000953674316, 44.10000228881836, 93.89599609375)","(4.800000190734863, 138.3000030517578, 100.91400146484375)","(53.10000228881836, 91.5, 19.601999282836914)","(38.85000228881836, 48.0, 88.33000183105469)","(0.45000001788139343, 66.75, 76.95600128173828)","(-10.950000762939453, 62.10000228881836, 22.506000518798828)","(42.0, 59.85000228881836, 109.14199829101562)"
9,2022-12-11 19:13:40.036494,"(-76.05000305175781, 74.4000015258789, 173.5139923095703)","(-14.850000381469727, 43.35000228881836, 94.13800048828125)","(5.25, 139.95001220703125, 100.43000030517578)","(53.250003814697266, 90.9000015258789, 20.56999969482422)","(38.85000228881836, 47.400001525878906, 87.36199951171875)","(0.6000000238418579, 67.5, 75.74600219726562)","(-10.950000762939453, 62.55000305175781, 21.053998947143555)","(42.30000305175781, 60.150001525878906, 108.9000015258789)"
