,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 18:23:32.861286,"(35.25, 30.600000381469727, 105.99600219726562)","(27.600000381469727, 32.25, 74.052001953125)","(24.750001907348633, 101.70000457763672, 104.302001953125)","(12.750000953674316, 41.10000228881836, 116.15999603271484)","(40.5, 32.400001525878906, 82.76399993896484)","(3.450000047683716, 28.950000762939453, 50.81999969482422)","(-18.450000762939453, 31.950000762939453, -0.9679999947547913)","(21.30000114440918, 51.750003814697266, 58.07999801635742)"
1,2022-12-11 18:23:32.906037,"(33.150001525878906, 30.30000114440918, 105.51200103759766)","(25.500001907348633, 31.950000762939453, 74.77799987792969)","(22.80000114440918, 102.00000762939453, 104.54399871826172)","(13.200000762939453, 40.05000305175781, 114.46599578857422)","(40.80000305175781, 32.10000228881836, 82.52200317382812)","(3.3000001907348633, 28.05000114440918, 51.78799819946289)","(-18.600000381469727, 31.950000762939453, -0.9679999947547913)","(21.0, 51.60000228881836, 58.07999801635742)"
2,2022-12-11 18:23:32.996034,"(34.5, 31.80000114440918, 105.51200103759766)","(26.55000114440918, 31.200000762939453, 74.53600311279297)","(24.150001525878906, 101.55000305175781, 103.09200286865234)","(13.200000762939453, 40.35000228881836, 114.2239990234375)","(40.650001525878906, 32.400001525878906, 83.00599670410156)","(3.450000047683716, 28.200000762939453, 49.85200119018555)","(-18.30000114440918, 31.80000114440918, -0.7260000109672546)","(21.150001525878906, 51.60000228881836, 58.07999801635742)"
3,2022-12-11 18:23:33.041253,"(34.80000305175781, 30.000001907348633, 107.447998046875)","(27.450000762939453, 31.500001907348633, 76.47200012207031)","(25.950000762939453, 102.75000762939453, 102.8499984741211)","(10.800000190734863, 40.650001525878906, 115.43399810791016)","(41.10000228881836, 32.400001525878906, 83.48999786376953)","(3.6000001430511475, 28.80000114440918, 51.0620002746582)","(-18.900001525878906, 32.85000228881836, 0.0)","(21.150001525878906, 51.45000076293945, 58.321998596191406)"
4,2022-12-11 18:23:33.130265,"(35.400001525878906, 30.750001907348633, 103.33399963378906)","(27.750001907348633, 30.750001907348633, 73.80999755859375)","(24.30000114440918, 102.9000015258789, 105.2699966430664)","(11.550000190734863, 40.05000305175781, 115.6760025024414)","(41.400001525878906, 32.25, 83.24800109863281)","(3.450000047683716, 28.80000114440918, 51.30400085449219)","(-18.900001525878906, 31.350000381469727, -0.48399999737739563)","(20.700000762939453, 51.30000305175781, 57.8380012512207)"
5,2022-12-11 18:23:33.175961,"(32.55000305175781, 30.450000762939453, 102.36599731445312)","(26.700000762939453, 30.750001907348633, 75.50399780273438)","(24.30000114440918, 102.30000305175781, 103.33399963378906)","(13.350000381469727, 40.95000076293945, 115.6760025024414)","(40.80000305175781, 32.10000228881836, 83.73200225830078)","(3.6000001430511475, 29.100000381469727, 51.78799819946289)","(-17.850000381469727, 32.10000228881836, -1.2100000381469727)","(21.0, 51.000003814697266, 58.56399917602539)"
6,2022-12-11 18:23:33.221047,"(34.35000228881836, 31.500001907348633, 104.78600311279297)","(26.250001907348633, 31.950000762939453, 75.26200103759766)","(23.850000381469727, 102.30000305175781, 105.51200103759766)","(12.90000057220459, 40.80000305175781, 114.46599578857422)","(40.650001525878906, 32.10000228881836, 82.52200317382812)","(3.1500000953674316, 28.500001907348633, 51.30400085449219)","(-18.900001525878906, 31.650001525878906, 0.24199999868869781)","(20.700000762939453, 51.30000305175781, 57.8380012512207)"
7,2022-12-11 18:23:33.265992,"(34.95000076293945, 31.950000762939453, 106.47999572753906)","(26.250001907348633, 29.55000114440918, 78.6500015258789)","(24.30000114440918, 102.1500015258789, 105.02799987792969)","(12.0, 39.60000228881836, 116.15999603271484)","(40.650001525878906, 32.55000305175781, 83.73200225830078)","(3.0, 28.500001907348633, 50.81999969482422)","(-18.600000381469727, 32.25, 0.24199999868869781)","(21.30000114440918, 51.000003814697266, 58.56399917602539)"
8,2022-12-11 18:23:33.356055,"(34.5, 32.10000228881836, 106.23799896240234)","(27.600000381469727, 31.350000381469727, 74.77799987792969)","(25.350000381469727, 102.30000305175781, 102.8499984741211)","(11.700000762939453, 40.35000228881836, 114.70800018310547)","(41.400001525878906, 32.55000305175781, 83.24800109863281)","(3.1500000953674316, 28.650001525878906, 50.33599853515625)","(-19.200000762939453, 32.400001525878906, -0.9679999947547913)","(20.55000114440918, 51.000003814697266, 59.53200149536133)"
9,2022-12-11 18:23:33.401097,"(33.60000228881836, 31.200000762939453, 104.302001953125)","(26.250001907348633, 31.200000762939453, 76.47200012207031)","(25.05000114440918, 102.60000610351562, 105.51200103759766)","(11.25, 41.55000305175781, 114.2239990234375)","(40.80000305175781, 32.10000228881836, 83.00599670410156)","(3.3000001907348633, 28.650001525878906, 50.81999969482422)","(-19.05000114440918, 32.70000076293945, -0.9679999947547913)","(20.55000114440918, 50.85000228881836, 58.07999801635742)"
