,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 19:15:33.436763,"(132.45001220703125, 70.95000457763672, 8.711999893188477)","(64.6500015258789, 46.20000076293945, 56.869998931884766)","(57.45000076293945, 86.70000457763672, 98.25199890136719)","(-19.650001525878906, -59.10000228881836, 187.30799865722656)","(47.25, 34.80000305175781, 96.55799865722656)","(14.850000381469727, 30.750001907348633, 82.03800201416016)","(-4.5, 25.650001525878906, 18.392000198364258)","(33.75, 37.05000305175781, 66.55000305175781)"
1,2022-12-11 19:15:33.481756,"(131.40000915527344, 72.1500015258789, 10.406000137329102)","(61.35000228881836, 48.30000305175781, 56.62799835205078)","(57.900001525878906, 89.4000015258789, 98.01000213623047)","(-18.75, -58.80000305175781, 188.03399658203125)","(46.95000076293945, 34.650001525878906, 96.0739974975586)","(14.850000381469727, 31.05000114440918, 81.55400085449219)","(-4.650000095367432, 26.55000114440918, 18.634000778198242)","(33.45000076293945, 37.35000228881836, 66.55000305175781)"
2,2022-12-11 19:15:33.526468,"(131.40000915527344, 71.10000610351562, 10.64799976348877)","(61.95000076293945, 48.150001525878906, 55.417999267578125)","(57.900001525878906, 89.10000610351562, 99.7040023803711)","(-18.30000114440918, -59.400001525878906, 192.6320037841797)","(47.10000228881836, 34.80000305175781, 96.31600189208984)","(14.700000762939453, 31.200000762939453, 82.03800201416016)","(-4.350000381469727, 25.650001525878906, 18.634000778198242)","(33.900001525878906, 37.20000076293945, 66.55000305175781)"
3,2022-12-11 19:15:33.616511,"(131.5500030517578, 72.0, 9.196000099182129)","(64.05000305175781, 48.150001525878906, 59.04800033569336)","(59.85000228881836, 89.4000015258789, 98.73600006103516)","(-17.25, -58.35000228881836, 187.7919921875)","(46.650001525878906, 34.650001525878906, 95.83200073242188)","(14.40000057220459, 30.450000762939453, 81.55400085449219)","(-3.9000000953674316, 25.650001525878906, 17.666000366210938)","(33.30000305175781, 37.80000305175781, 66.55000305175781)"
4,2022-12-11 19:15:33.661794,"(133.8000030517578, 71.55000305175781, 8.227999687194824)","(63.000003814697266, 48.750003814697266, 59.04800033569336)","(58.05000305175781, 88.6500015258789, 99.94599914550781)","(-15.750000953674316, -58.05000305175781, 189.24400329589844)","(47.10000228881836, 34.5, 96.0739974975586)","(14.700000762939453, 30.600000381469727, 80.8280029296875)","(-3.750000238418579, 26.55000114440918, 18.149999618530273)","(33.0, 37.80000305175781, 65.8239974975586)"
5,2022-12-11 19:15:33.706661,"(133.0500030517578, 75.1500015258789, 7.259999752044678)","(63.900001525878906, 47.85000228881836, 58.321998596191406)","(57.150001525878906, 88.6500015258789, 98.25199890136719)","(-18.600000381469727, -60.750003814697266, 190.45399475097656)","(46.95000076293945, 34.05000305175781, 95.3479995727539)","(13.800000190734863, 30.450000762939453, 80.8280029296875)","(-4.5, 25.80000114440918, 18.634000778198242)","(33.150001525878906, 37.650001525878906, 66.30799865722656)"
6,2022-12-11 19:15:33.796521,"(134.85000610351562, 76.80000305175781, 8.470000267028809)","(62.85000228881836, 49.95000076293945, 57.8380012512207)","(59.400001525878906, 89.4000015258789, 100.43000030517578)","(-17.700000762939453, -60.000003814697266, 191.4219970703125)","(46.650001525878906, 34.5, 96.0739974975586)","(14.100000381469727, 30.900001525878906, 81.31199645996094)","(-4.350000381469727, 25.650001525878906, 17.90799903869629)","(33.75, 37.80000305175781, 65.33999633789062)"
7,2022-12-11 19:15:33.841553,"(135.45001220703125, 74.10000610351562, 9.437999725341797)","(64.6500015258789, 48.750003814697266, 55.417999267578125)","(59.10000228881836, 88.95000457763672, 99.7040023803711)","(-15.450000762939453, -60.60000228881836, 190.21200561523438)","(46.95000076293945, 34.20000076293945, 95.58999633789062)","(13.950000762939453, 30.450000762939453, 81.31199645996094)","(-4.350000381469727, 26.100000381469727, 17.90799903869629)","(33.30000305175781, 37.80000305175781, 64.61399841308594)"
8,2022-12-11 19:15:33.886735,"(136.35000610351562, 75.1500015258789, 7.74399995803833)","(63.30000305175781, 49.650001525878906, 57.59600067138672)","(59.10000228881836, 87.9000015258789, 99.22000122070312)","(-18.600000381469727, -60.150001525878906, 190.6959991455078)","(46.95000076293945, 34.95000076293945, 96.31600189208984)","(15.15000057220459, 30.450000762939453, 81.7959976196289)","(-4.950000286102295, 26.400001525878906, 17.18199920654297)","(33.150001525878906, 37.650001525878906, 66.79199981689453)"
9,2022-12-11 19:15:33.976392,"(134.70001220703125, 75.45000457763672, 9.196000099182129)","(63.60000228881836, 47.400001525878906, 57.8380012512207)","(59.55000305175781, 90.0, 98.73600006103516)","(-18.75, -62.250003814697266, 192.6320037841797)","(47.10000228881836, 34.35000228881836, 96.0739974975586)","(14.250000953674316, 30.600000381469727, 81.31199645996094)","(-4.800000190734863, 25.950000762939453, 16.940000534057617)","(33.45000076293945, 37.80000305175781, 66.55000305175781)"
