,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 19:11:34.531925,"(145.95001220703125, 240.15000915527344, 78.89199829101562)","(48.900001525878906, 80.10000610351562, 98.4939956665039)","(62.70000076293945, 139.20001220703125, 122.69400024414062)","(159.60000610351562, 23.700000762939453, 82.52200317382812)","(34.95000076293945, 35.10000228881836, 78.6500015258789)","(-6.300000190734863, 41.85000228881836, 41.38199996948242)","(-30.900001525878906, 43.05000305175781, -0.7260000109672546)","(20.400001525878906, 64.05000305175781, 69.69599914550781)"
1,2022-12-11 19:11:34.576951,"(146.70001220703125, 240.00001525878906, 78.6500015258789)","(47.85000228881836, 78.0, 99.22000122070312)","(63.900001525878906, 139.8000030517578, 122.93599700927734)","(158.70001220703125, 23.55000114440918, 82.76399993896484)","(34.5, 35.400001525878906, 78.89199829101562)","(-6.150000095367432, 41.25, 42.349998474121094)","(-31.350000381469727, 42.900001525878906, -2.6619999408721924)","(21.0, 64.5, 68.97000122070312)"
2,2022-12-11 19:11:34.621982,"(145.65000915527344, 241.20001220703125, 74.53600311279297)","(47.70000076293945, 78.30000305175781, 98.01000213623047)","(62.400001525878906, 139.65000915527344, 120.51599884033203)","(157.8000030517578, 22.650001525878906, 82.52200317382812)","(34.05000305175781, 35.400001525878906, 78.6500015258789)","(-5.850000381469727, 41.400001525878906, 41.624000549316406)","(-31.500001907348633, 42.75, -1.2100000381469727)","(20.700000762939453, 64.5, 69.4540023803711)"
3,2022-12-11 19:11:34.711611,"(145.0500030517578, 238.20001220703125, 80.34400177001953)","(49.35000228881836, 78.9000015258789, 97.28399658203125)","(62.70000076293945, 138.45001220703125, 120.75799560546875)","(157.95001220703125, 24.900001525878906, 84.94200134277344)","(34.35000228881836, 35.400001525878906, 78.40799713134766)","(-6.150000095367432, 41.25, 42.10799789428711)","(-30.750001907348633, 43.05000305175781, -1.4520000219345093)","(21.0, 64.05000305175781, 69.21199798583984)"
4,2022-12-11 19:11:34.801078,"(144.75, 238.95001220703125, 81.7959976196289)","(47.400001525878906, 78.45000457763672, 97.5260009765625)","(62.400001525878906, 138.15000915527344, 124.38800048828125)","(156.60000610351562, 23.100000381469727, 83.48999786376953)","(34.35000228881836, 34.80000305175781, 78.16600036621094)","(-6.150000095367432, 41.55000305175781, 41.38199996948242)","(-31.650001525878906, 43.5, -0.7260000109672546)","(21.30000114440918, 64.6500015258789, 68.97000122070312)"
5,2022-12-11 19:11:34.802088,"(144.0, 237.00001525878906, 82.76399993896484)","(46.5, 76.95000457763672, 98.4939956665039)","(63.45000076293945, 139.20001220703125, 122.45199584960938)","(155.5500030517578, 22.950000762939453, 86.1520004272461)","(34.20000076293945, 35.25, 79.3759994506836)","(-6.300000190734863, 41.400001525878906, 41.86600112915039)","(-31.200000762939453, 43.5, -0.7260000109672546)","(20.700000762939453, 63.900001525878906, 68.97000122070312)"
6,2022-12-11 19:11:34.891664,"(143.70001220703125, 231.90000915527344, 83.24800109863281)","(47.10000228881836, 79.5, 96.31600189208984)","(62.250003814697266, 138.15000915527344, 123.66200256347656)","(154.65000915527344, 25.350000381469727, 86.1520004272461)","(34.35000228881836, 35.70000076293945, 78.6500015258789)","(-6.600000381469727, 40.95000076293945, 42.59199905395508)","(-30.900001525878906, 43.5, -0.9679999947547913)","(21.0, 64.20000457763672, 69.93799591064453)"
7,2022-12-11 19:11:34.936825,"(143.25, 226.8000030517578, 83.24800109863281)","(48.0, 78.30000305175781, 96.0739974975586)","(62.10000228881836, 139.0500030517578, 121.0)","(151.20001220703125, 25.650001525878906, 88.81400299072266)","(34.5, 34.80000305175781, 79.61799621582031)","(-6.300000190734863, 40.95000076293945, 41.624000549316406)","(-30.750001907348633, 42.75, -0.7260000109672546)","(20.850000381469727, 63.30000305175781, 69.69599914550781)"
8,2022-12-11 19:11:35.026659,"(143.25, 226.35000610351562, 84.69999694824219)","(46.95000076293945, 77.70000457763672, 97.28399658203125)","(63.000003814697266, 136.35000610351562, 122.93599700927734)","(149.5500030517578, 26.400001525878906, 85.4260025024414)","(34.650001525878906, 35.10000228881836, 78.89199829101562)","(-6.300000190734863, 41.400001525878906, 41.86600112915039)","(-30.600000381469727, 43.20000076293945, -0.7260000109672546)","(21.450000762939453, 63.750003814697266, 70.4219970703125)"
9,2022-12-11 19:11:35.071862,"(139.20001220703125, 223.95001220703125, 81.7959976196289)","(46.20000076293945, 76.05000305175781, 95.58999633789062)","(60.750003814697266, 139.65000915527344, 121.96800231933594)","(148.95001220703125, 27.30000114440918, 85.18399810791016)","(33.900001525878906, 35.25, 79.3759994506836)","(-6.150000095367432, 40.650001525878906, 42.59199905395508)","(-30.600000381469727, 43.5, -0.7260000109672546)","(20.400001525878906, 64.20000457763672, 69.21199798583984)"
