,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 18:50:02.310075,"(16.650001525878906, 21.600000381469727, 56.38600158691406)","(26.700000762939453, 37.35000228881836, 54.20800018310547)","(30.750001907348633, 102.45000457763672, 82.52200317382812)","(-12.600000381469727, 16.200000762939453, 93.16999816894531)","(54.45000076293945, 46.95000076293945, 102.60800170898438)","(31.05000114440918, 59.10000228881836, 114.2239990234375)","(19.650001525878906, 45.75, 33.63800048828125)","(59.70000076293945, 32.25, 100.91400146484375)"
1,2022-12-11 18:50:02.355248,"(17.100000381469727, 20.55000114440918, 58.56399917602539)","(28.350000381469727, 35.55000305175781, 53.23999786376953)","(31.80000114440918, 103.20000457763672, 81.7959976196289)","(-12.90000057220459, 16.05000114440918, 93.16999816894531)","(54.30000305175781, 46.95000076293945, 102.1240005493164)","(30.750001907348633, 59.70000076293945, 114.2239990234375)","(18.900001525878906, 46.20000076293945, 33.395999908447266)","(60.000003814697266, 31.950000762939453, 101.63999938964844)"
2,2022-12-11 18:50:02.444790,"(14.700000762939453, 21.150001525878906, 58.805999755859375)","(26.250001907348633, 37.80000305175781, 52.75600051879883)","(31.80000114440918, 103.05000305175781, 84.69999694824219)","(-11.40000057220459, 15.600000381469727, 94.13800048828125)","(54.45000076293945, 47.10000228881836, 101.88199615478516)","(30.900001525878906, 59.400001525878906, 114.2239990234375)","(19.5, 45.0, 34.60599899291992)","(59.55000305175781, 32.25, 101.88199615478516)"
3,2022-12-11 18:50:02.489282,"(16.5, 20.55000114440918, 56.869998931884766)","(26.55000114440918, 36.60000228881836, 51.0620002746582)","(31.950000762939453, 103.50000762939453, 81.31199645996094)","(-11.850000381469727, 16.5, 94.13800048828125)","(54.750003814697266, 47.10000228881836, 102.36599731445312)","(30.750001907348633, 59.55000305175781, 113.73999786376953)","(19.5, 45.45000076293945, 33.63800048828125)","(60.30000305175781, 32.25, 101.15599822998047)"
4,2022-12-11 18:50:02.535192,"(16.80000114440918, 21.30000114440918, 55.65999984741211)","(28.200000762939453, 36.30000305175781, 53.481998443603516)","(30.750001907348633, 103.6500015258789, 80.58599853515625)","(-13.65000057220459, 16.05000114440918, 92.9280014038086)","(54.60000228881836, 47.25, 103.09200286865234)","(30.600000381469727, 59.10000228881836, 114.70800018310547)","(19.05000114440918, 45.30000305175781, 34.36399841308594)","(59.85000228881836, 32.10000228881836, 100.91400146484375)"
5,2022-12-11 18:50:02.624735,"(15.90000057220459, 21.30000114440918, 56.62799835205078)","(25.200000762939453, 36.900001525878906, 53.965999603271484)","(31.650001525878906, 103.20000457763672, 83.73200225830078)","(-12.15000057220459, 15.90000057220459, 93.41200256347656)","(54.60000228881836, 46.95000076293945, 101.63999938964844)","(31.05000114440918, 58.95000076293945, 113.73999786376953)","(19.5, 45.45000076293945, 33.15399932861328)","(59.70000076293945, 31.650001525878906, 100.91400146484375)"
6,2022-12-11 18:50:02.669713,"(16.950000762939453, 22.05000114440918, 58.56399917602539)","(27.600000381469727, 37.5, 54.20800018310547)","(29.850000381469727, 102.45000457763672, 83.73200225830078)","(-11.550000190734863, 15.600000381469727, 92.68599700927734)","(54.45000076293945, 47.25, 102.36599731445312)","(31.05000114440918, 59.400001525878906, 113.49800109863281)","(19.200000762939453, 45.75, 34.847999572753906)","(60.000003814697266, 32.10000228881836, 100.6719970703125)"
7,2022-12-11 18:50:02.714237,"(15.600000381469727, 20.400001525878906, 56.869998931884766)","(28.200000762939453, 37.5, 54.20800018310547)","(31.350000381469727, 102.1500015258789, 83.9739990234375)","(-12.90000057220459, 15.000000953674316, 92.20199584960938)","(54.750003814697266, 46.80000305175781, 102.1240005493164)","(30.450000762939453, 59.400001525878906, 113.98200225830078)","(19.350000381469727, 45.75, 33.63800048828125)","(59.250003814697266, 31.500001907348633, 101.15599822998047)"
8,2022-12-11 18:50:02.804488,"(17.400001525878906, 20.55000114440918, 57.59600067138672)","(27.900001525878906, 35.400001525878906, 54.20800018310547)","(31.350000381469727, 102.30000305175781, 84.21599578857422)","(-13.050000190734863, 14.850000381469727, 94.13800048828125)","(54.750003814697266, 47.25, 102.36599731445312)","(30.750001907348633, 59.250003814697266, 113.49800109863281)","(19.05000114440918, 44.55000305175781, 33.395999908447266)","(59.85000228881836, 31.950000762939453, 101.63999938964844)"
9,2022-12-11 18:50:02.849783,"(17.100000381469727, 21.450000762939453, 56.869998931884766)","(26.700000762939453, 35.85000228881836, 56.14400100708008)","(31.950000762939453, 101.25000762939453, 83.73200225830078)","(-11.25, 15.000000953674316, 95.10600280761719)","(54.30000305175781, 46.80000305175781, 102.1240005493164)","(30.900001525878906, 58.650001525878906, 113.98200225830078)","(19.950000762939453, 45.45000076293945, 34.36399841308594)","(59.70000076293945, 31.500001907348633, 101.88199615478516)"
