,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 19:16:50.071837,"(-24.900001525878906, -43.650001525878906, 127.29199981689453)","(0.30000001192092896, 13.350000381469727, 69.69599914550781)","(-6.600000381469727, 91.6500015258789, 92.9280014038086)","(-96.75000762939453, 46.05000305175781, 143.02200317382812)","(49.95000076293945, 53.55000305175781, 99.7040023803711)","(16.05000114440918, 76.20000457763672, 113.49800109863281)","(18.900001525878906, 63.000003814697266, 36.05799865722656)","(68.4000015258789, 43.35000228881836, 130.43800354003906)"
1,2022-12-11 19:16:50.117119,"(-26.55000114440918, -43.35000228881836, 126.3239974975586)","(1.2000000476837158, 13.950000762939453, 69.21199798583984)","(-6.900000095367432, 93.0, 92.44400024414062)","(-98.70000457763672, 46.35000228881836, 143.99000549316406)","(49.80000305175781, 53.55000305175781, 100.18799591064453)","(15.600000381469727, 76.20000457763672, 113.98200225830078)","(18.600000381469727, 62.85000228881836, 36.54199981689453)","(69.30000305175781, 43.05000305175781, 130.9219970703125)"
2,2022-12-11 19:16:50.161493,"(-25.350000381469727, -43.650001525878906, 127.53399658203125)","(0.75, 12.750000953674316, 69.69599914550781)","(-7.050000190734863, 90.45000457763672, 95.58999633789062)","(-99.30000305175781, 46.80000305175781, 144.23199462890625)","(49.95000076293945, 53.250003814697266, 99.7040023803711)","(16.5, 76.20000457763672, 114.70800018310547)","(18.0, 63.60000228881836, 35.57400131225586)","(69.30000305175781, 42.75, 130.9219970703125)"
3,2022-12-11 19:16:50.251868,"(-27.150001525878906, -42.75, 127.29199981689453)","(1.350000023841858, 13.950000762939453, 68.72799682617188)","(-7.350000381469727, 92.10000610351562, 94.13800048828125)","(-98.85000610351562, 45.60000228881836, 145.92599487304688)","(50.250003814697266, 53.250003814697266, 99.46199798583984)","(15.750000953674316, 76.80000305175781, 114.2239990234375)","(19.350000381469727, 63.900001525878906, 36.54199981689453)","(68.55000305175781, 43.20000076293945, 130.9219970703125)"
4,2022-12-11 19:16:50.297173,"(-26.100000381469727, -45.900001525878906, 126.80799865722656)","(0.30000001192092896, 14.550000190734863, 69.93799591064453)","(-7.350000381469727, 90.30000305175781, 92.44400024414062)","(-98.55000305175781, 46.35000228881836, 145.44200134277344)","(49.95000076293945, 53.400001525878906, 99.46199798583984)","(16.5, 76.6500015258789, 113.98200225830078)","(19.05000114440918, 63.150001525878906, 36.54199981689453)","(69.1500015258789, 43.20000076293945, 131.6479949951172)"
5,2022-12-11 19:16:50.386796,"(-26.100000381469727, -45.150001525878906, 131.406005859375)","(2.5500001907348633, 11.40000057220459, 67.2760009765625)","(-6.900000095367432, 91.35000610351562, 91.95999908447266)","(-99.9000015258789, 46.650001525878906, 143.7480010986328)","(49.80000305175781, 53.10000228881836, 99.7040023803711)","(15.300000190734863, 76.95000457763672, 114.2239990234375)","(18.30000114440918, 62.85000228881836, 34.60599899291992)","(69.1500015258789, 43.35000228881836, 131.88999938964844)"
6,2022-12-11 19:16:50.476802,"(-27.000001907348633, -45.45000076293945, 129.71200561523438)","(0.9000000357627869, 13.500000953674316, 71.38999938964844)","(-7.500000476837158, 91.20000457763672, 92.20199584960938)","(-100.05000305175781, 47.70000076293945, 143.7480010986328)","(50.10000228881836, 52.95000076293945, 99.46199798583984)","(15.750000953674316, 76.35000610351562, 114.46599578857422)","(18.900001525878906, 63.750003814697266, 35.81599807739258)","(68.85000610351562, 43.05000305175781, 132.1320037841797)"
7,2022-12-11 19:16:50.477834,"(-25.950000762939453, -45.0, 133.10000610351562)","(0.0, 12.300000190734863, 70.90599822998047)","(-8.850000381469727, 91.05000305175781, 94.62200164794922)","(-100.6500015258789, 47.25, 146.8939971923828)","(49.95000076293945, 53.400001525878906, 99.7040023803711)","(15.300000190734863, 76.6500015258789, 113.49800109863281)","(18.0, 63.45000076293945, 36.05799865722656)","(68.70000457763672, 43.80000305175781, 131.88999938964844)"
8,2022-12-11 19:16:50.566835,"(-27.750001907348633, -45.30000305175781, 129.47000122070312)","(0.9000000357627869, 12.450000762939453, 70.90599822998047)","(-9.15000057220459, 91.95000457763672, 92.9280014038086)","(-100.95000457763672, 48.900001525878906, 147.13600158691406)","(49.650001525878906, 53.10000228881836, 99.22000122070312)","(15.750000953674316, 76.6500015258789, 112.77200317382812)","(18.450000762939453, 63.60000228881836, 36.05799865722656)","(68.85000610351562, 43.650001525878906, 131.6479949951172)"
9,2022-12-11 19:16:50.611458,"(-27.000001907348633, -47.10000228881836, 132.61599731445312)","(1.5, 12.750000953674316, 70.18000030517578)","(-7.500000476837158, 90.75, 95.3479995727539)","(-100.20000457763672, 50.70000076293945, 145.44200134277344)","(49.650001525878906, 53.250003814697266, 99.22000122070312)","(14.700000762939453, 76.5, 113.49800109863281)","(18.600000381469727, 63.150001525878906, 35.81599807739258)","(69.0, 44.25, 131.16400146484375)"
