,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 19:12:46.216621,"(-72.9000015258789, 7.200000286102295, 139.63400268554688)","(-11.25, 26.100000381469727, 73.32599639892578)","(-3.450000047683716, 111.45000457763672, 89.78199768066406)","(-26.400001525878906, 63.150001525878906, 73.80999755859375)","(51.45000076293945, 52.35000228881836, 102.1240005493164)","(22.05000114440918, 67.95000457763672, 121.24199676513672)","(18.150001525878906, 56.85000228881836, 37.99399948120117)","(59.250003814697266, 39.30000305175781, 115.43399810791016)"
1,2022-12-11 19:12:46.261714,"(-71.4000015258789, 8.25, 139.14999389648438)","(-12.750000953674316, 26.100000381469727, 71.8740005493164)","(-3.1500000953674316, 112.6500015258789, 87.12000274658203)","(-27.450000762939453, 61.650001525878906, 77.44000244140625)","(51.60000228881836, 52.35000228881836, 101.88199615478516)","(21.75, 68.55000305175781, 120.27400207519531)","(17.25, 57.150001525878906, 37.0260009765625)","(58.95000076293945, 38.400001525878906, 115.6760025024414)"
2,2022-12-11 19:12:46.306545,"(-70.05000305175781, 7.050000190734863, 140.843994140625)","(-14.700000762939453, 27.000001907348633, 73.08399963378906)","(-3.750000238418579, 111.1500015258789, 88.33000183105469)","(-27.450000762939453, 60.150001525878906, 73.08399963378906)","(51.150001525878906, 52.650001525878906, 101.88199615478516)","(22.200000762939453, 69.0, 121.24199676513672)","(17.850000381469727, 56.55000305175781, 36.784000396728516)","(59.10000228881836, 38.85000228881836, 115.19200134277344)"
3,2022-12-11 19:12:46.396433,"(-71.85000610351562, 8.40000057220459, 138.4239959716797)","(-13.800000190734863, 28.200000762939453, 73.08399963378906)","(-4.650000095367432, 112.6500015258789, 85.4260025024414)","(-28.650001525878906, 60.30000305175781, 73.56800079345703)","(51.60000228881836, 52.80000305175781, 101.88199615478516)","(22.05000114440918, 68.4000015258789, 120.75799560546875)","(16.80000114440918, 56.400001525878906, 38.720001220703125)","(59.70000076293945, 37.95000076293945, 115.6760025024414)"
4,2022-12-11 19:12:46.441858,"(-71.70000457763672, 8.100000381469727, 140.6020050048828)","(-14.850000381469727, 26.400001525878906, 71.8740005493164)","(-4.200000286102295, 113.85000610351562, 87.60399627685547)","(-27.900001525878906, 61.95000076293945, 74.052001953125)","(51.150001525878906, 52.80000305175781, 102.1240005493164)","(22.200000762939453, 67.95000457763672, 120.75799560546875)","(17.55000114440918, 57.150001525878906, 37.5099983215332)","(59.250003814697266, 37.95000076293945, 116.15999603271484)"
5,2022-12-11 19:12:46.486505,"(-73.05000305175781, 8.100000381469727, 139.14999389648438)","(-13.65000057220459, 25.80000114440918, 72.84200286865234)","(-2.8500001430511475, 112.80000305175781, 86.87799835205078)","(-28.05000114440918, 60.000003814697266, 75.50399780273438)","(51.60000228881836, 53.250003814697266, 102.1240005493164)","(21.900001525878906, 68.10000610351562, 121.0)","(18.150001525878906, 57.000003814697266, 37.5099983215332)","(59.400001525878906, 38.70000076293945, 115.6760025024414)"
6,2022-12-11 19:12:46.576785,"(-71.25, 8.850000381469727, 137.697998046875)","(-13.65000057220459, 26.850000381469727, 71.63199615478516)","(-3.6000001430511475, 111.75000762939453, 87.60399627685547)","(-28.500001907348633, 61.500003814697266, 74.052001953125)","(51.150001525878906, 52.95000076293945, 101.88199615478516)","(22.200000762939453, 68.25, 121.0)","(17.700000762939453, 56.70000076293945, 38.236000061035156)","(59.250003814697266, 38.70000076293945, 115.43399810791016)"
7,2022-12-11 19:12:46.631335,"(-71.85000610351562, 6.600000381469727, 139.63400268554688)","(-12.0, 27.600000381469727, 71.8740005493164)","(-2.8500001430511475, 113.85000610351562, 88.08799743652344)","(-26.250001907348633, 62.250003814697266, 75.26200103759766)","(51.45000076293945, 52.35000228881836, 102.1240005493164)","(22.5, 68.70000457763672, 120.51599884033203)","(18.0, 57.150001525878906, 36.784000396728516)","(59.400001525878906, 38.85000228881836, 115.6760025024414)"
8,2022-12-11 19:12:46.710840,"(-70.80000305175781, 9.0, 138.66600036621094)","(-14.250000953674316, 26.850000381469727, 72.84200286865234)","(-3.450000047683716, 112.50000762939453, 86.87799835205078)","(-25.350000381469727, 63.30000305175781, 75.74600219726562)","(51.60000228881836, 52.80000305175781, 102.1240005493164)","(22.80000114440918, 68.25, 119.79000091552734)","(17.55000114440918, 56.55000305175781, 37.5099983215332)","(59.10000228881836, 38.70000076293945, 114.46599578857422)"
9,2022-12-11 19:12:46.801418,"(-70.20000457763672, 9.15000057220459, 142.77999877929688)","(-15.15000057220459, 26.55000114440918, 73.08399963378906)","(-3.6000001430511475, 111.45000457763672, 86.39399719238281)","(-25.950000762939453, 61.35000228881836, 75.98799896240234)","(51.30000305175781, 52.500003814697266, 102.36599731445312)","(22.200000762939453, 69.0, 120.75799560546875)","(16.80000114440918, 57.60000228881836, 37.0260009765625)","(58.80000305175781, 38.55000305175781, 116.15999603271484)"
