,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 15:00:00.742569,"(39.0, 51.45000076293945, 84.94200134277344)","(33.30000305175781, 43.20000076293945, 70.90599822998047)","(40.20000076293945, 112.80000305175781, 98.97799682617188)","(32.10000228881836, 40.80000305175781, 89.78199768066406)","(49.95000076293945, 40.35000228881836, 94.13800048828125)","(17.850000381469727, 46.80000305175781, 80.34400177001953)","(4.800000190734863, 41.70000076293945, 20.086000442504883)","(44.55000305175781, 51.000003814697266, 85.90999603271484)"
1,2022-12-11 15:00:00.832169,"(37.80000305175781, 51.45000076293945, 84.45800018310547)","(36.150001525878906, 44.25, 71.14800262451172)","(41.25, 113.70000457763672, 97.04199981689453)","(32.400001525878906, 40.05000305175781, 93.41200256347656)","(49.650001525878906, 40.35000228881836, 93.89599609375)","(17.400001525878906, 46.650001525878906, 80.58599853515625)","(4.350000381469727, 41.70000076293945, 20.812000274658203)","(44.400001525878906, 50.85000228881836, 86.87799835205078)"
2,2022-12-11 15:00:00.877069,"(38.85000228881836, 50.70000076293945, 85.18399810791016)","(34.35000228881836, 41.10000228881836, 70.18000030517578)","(41.70000076293945, 112.80000305175781, 99.22000122070312)","(33.0, 42.0, 90.26599884033203)","(49.80000305175781, 40.80000305175781, 94.37999725341797)","(17.400001525878906, 46.95000076293945, 80.58599853515625)","(3.9000000953674316, 41.55000305175781, 22.02199935913086)","(44.70000076293945, 50.70000076293945, 86.87799835205078)"
3,2022-12-11 15:00:00.922008,"(40.20000076293945, 51.45000076293945, 82.52200317382812)","(35.70000076293945, 44.85000228881836, 71.14800262451172)","(41.85000228881836, 112.35000610351562, 97.04199981689453)","(33.45000076293945, 41.400001525878906, 92.20199584960938)","(49.95000076293945, 40.35000228881836, 94.86399841308594)","(18.450000762939453, 46.20000076293945, 81.31199645996094)","(4.5, 41.85000228881836, 20.327999114990234)","(44.70000076293945, 51.45000076293945, 86.63600158691406)"
4,2022-12-11 15:00:01.012785,"(38.10000228881836, 50.85000228881836, 85.90999603271484)","(35.85000228881836, 43.80000305175781, 70.90599822998047)","(39.900001525878906, 114.00000762939453, 99.94599914550781)","(32.70000076293945, 40.650001525878906, 92.68599700927734)","(50.55000305175781, 40.20000076293945, 94.86399841308594)","(17.55000114440918, 46.35000228881836, 80.34400177001953)","(5.550000190734863, 41.55000305175781, 20.327999114990234)","(44.70000076293945, 50.85000228881836, 86.63600158691406)"
5,2022-12-11 15:00:01.056942,"(39.75, 52.20000076293945, 84.21599578857422)","(36.900001525878906, 45.45000076293945, 68.72799682617188)","(39.45000076293945, 113.25000762939453, 98.01000213623047)","(33.30000305175781, 40.650001525878906, 90.26599884033203)","(49.80000305175781, 40.5, 94.62200164794922)","(18.0, 45.900001525878906, 81.06999969482422)","(4.350000381469727, 41.400001525878906, 21.29599952697754)","(45.0, 50.70000076293945, 86.39399719238281)"
6,2022-12-11 15:00:01.146928,"(38.85000228881836, 51.900001525878906, 82.52200317382812)","(35.55000305175781, 42.900001525878906, 71.14800262451172)","(42.0, 114.60000610351562, 96.0739974975586)","(32.25, 40.80000305175781, 89.2979965209961)","(49.80000305175781, 40.650001525878906, 94.86399841308594)","(18.0, 46.5, 80.8280029296875)","(5.550000190734863, 42.0, 21.053998947143555)","(45.0, 50.85000228881836, 86.87799835205078)"
7,2022-12-11 15:00:01.191713,"(40.05000305175781, 52.80000305175781, 82.03800201416016)","(36.45000076293945, 43.650001525878906, 71.38999938964844)","(42.75, 115.6500015258789, 95.10600280761719)","(33.30000305175781, 40.35000228881836, 90.26599884033203)","(50.250003814697266, 40.5, 94.86399841308594)","(18.0, 47.10000228881836, 81.06999969482422)","(4.800000190734863, 42.150001525878906, 20.327999114990234)","(45.0, 51.30000305175781, 86.39399719238281)"
8,2022-12-11 15:00:01.236886,"(38.55000305175781, 49.650001525878906, 84.94200134277344)","(35.10000228881836, 42.45000076293945, 71.8740005493164)","(40.35000228881836, 112.6500015258789, 97.04199981689453)","(34.5, 42.30000305175781, 91.71800231933594)","(50.400001525878906, 40.05000305175781, 94.62200164794922)","(18.900001525878906, 47.10000228881836, 80.8280029296875)","(5.400000095367432, 41.55000305175781, 19.601999282836914)","(45.30000305175781, 51.45000076293945, 86.39399719238281)"
9,2022-12-11 15:00:01.326922,"(39.75, 51.60000228881836, 84.21599578857422)","(36.45000076293945, 43.80000305175781, 68.48600006103516)","(40.95000076293945, 113.4000015258789, 98.73600006103516)","(33.45000076293945, 40.80000305175781, 91.23400115966797)","(49.650001525878906, 40.650001525878906, 94.86399841308594)","(18.75, 46.80000305175781, 81.55400085449219)","(5.100000381469727, 41.55000305175781, 21.29599952697754)","(45.30000305175781, 51.000003814697266, 86.39399719238281)"
10,2022-12-11 15:00:01.371913,"(39.30000305175781, 52.95000076293945, 85.90999603271484)","(37.05000305175781, 42.60000228881836, 69.21199798583984)","(40.80000305175781, 113.85000610351562, 100.18799591064453)","(34.20000076293945, 40.650001525878906, 90.75)","(50.400001525878906, 40.35000228881836, 94.13800048828125)","(18.600000381469727, 46.20000076293945, 80.58599853515625)","(5.25, 42.150001525878906, 20.086000442504883)","(45.0, 51.150001525878906, 86.63600158691406)"
11,2022-12-11 15:00:01.417443,"(37.95000076293945, 51.150001525878906, 84.69999694824219)","(38.25, 44.55000305175781, 71.38999938964844)","(42.0, 114.45000457763672, 97.5260009765625)","(33.900001525878906, 41.55000305175781, 91.23400115966797)","(50.400001525878906, 40.35000228881836, 94.13800048828125)","(18.75, 46.80000305175781, 81.55400085449219)","(6.0, 42.30000305175781, 21.538000106811523)","(45.150001525878906, 51.30000305175781, 86.63600158691406)"
12,2022-12-11 15:00:01.506788,"(39.30000305175781, 51.150001525878906, 83.9739990234375)","(36.900001525878906, 44.25, 69.69599914550781)","(40.35000228881836, 112.6500015258789, 98.01000213623047)","(33.45000076293945, 41.25, 91.23400115966797)","(50.400001525878906, 40.650001525878906, 94.37999725341797)","(18.150001525878906, 46.650001525878906, 81.06999969482422)","(5.25, 42.0, 21.29599952697754)","(45.45000076293945, 51.30000305175781, 86.87799835205078)"
13,2022-12-11 15:00:01.551661,"(39.45000076293945, 51.000003814697266, 86.63600158691406)","(37.80000305175781, 43.80000305175781, 69.93799591064453)","(41.400001525878906, 114.45000457763672, 99.7040023803711)","(33.30000305175781, 41.10000228881836, 90.99199676513672)","(50.55000305175781, 40.650001525878906, 94.37999725341797)","(19.05000114440918, 46.650001525878906, 81.31199645996094)","(5.550000190734863, 41.70000076293945, 21.780000686645508)","(45.60000228881836, 51.150001525878906, 86.39399719238281)"
14,2022-12-11 15:00:01.596635,"(39.900001525878906, 50.70000076293945, 85.90999603271484)","(36.75, 44.25, 70.66400146484375)","(41.85000228881836, 113.55000305175781, 98.01000213623047)","(35.25, 40.650001525878906, 92.68599700927734)","(50.250003814697266, 40.5, 94.13800048828125)","(18.450000762939453, 47.10000228881836, 80.58599853515625)","(5.700000286102295, 42.150001525878906, 20.327999114990234)","(45.0, 51.000003814697266, 86.1520004272461)"
15,2022-12-11 15:00:01.686730,"(39.900001525878906, 51.000003814697266, 84.94200134277344)","(36.60000228881836, 43.35000228881836, 70.90599822998047)","(40.20000076293945, 114.30000305175781, 98.97799682617188)","(33.45000076293945, 41.55000305175781, 90.26599884033203)","(50.250003814697266, 40.650001525878906, 94.13800048828125)","(18.30000114440918, 47.400001525878906, 80.8280029296875)","(6.150000095367432, 41.70000076293945, 20.327999114990234)","(45.60000228881836, 50.70000076293945, 87.12000274658203)"
16,2022-12-11 15:00:01.732016,"(39.150001525878906, 52.80000305175781, 84.69999694824219)","(37.5, 44.55000305175781, 69.21199798583984)","(43.20000076293945, 113.70000457763672, 99.22000122070312)","(34.35000228881836, 42.60000228881836, 90.26599884033203)","(50.70000076293945, 40.95000076293945, 94.62200164794922)","(18.900001525878906, 46.35000228881836, 80.8280029296875)","(5.400000095367432, 42.150001525878906, 21.538000106811523)","(45.60000228881836, 51.30000305175781, 86.1520004272461)"
17,2022-12-11 15:00:01.776947,"(40.650001525878906, 52.05000305175781, 84.94200134277344)","(36.45000076293945, 43.20000076293945, 69.4540023803711)","(41.55000305175781, 112.95000457763672, 98.01000213623047)","(34.650001525878906, 41.10000228881836, 91.71800231933594)","(50.250003814697266, 40.650001525878906, 94.62200164794922)","(18.75, 46.650001525878906, 81.55400085449219)","(5.700000286102295, 42.60000228881836, 21.780000686645508)","(45.45000076293945, 51.30000305175781, 85.90999603271484)"
18,2022-12-11 15:00:01.867083,"(40.80000305175781, 50.10000228881836, 82.52200317382812)","(37.20000076293945, 43.80000305175781, 70.90599822998047)","(42.150001525878906, 114.30000305175781, 98.97799682617188)","(35.10000228881836, 42.45000076293945, 91.47599792480469)","(50.70000076293945, 40.5, 94.37999725341797)","(19.05000114440918, 46.35000228881836, 81.06999969482422)","(5.400000095367432, 41.70000076293945, 20.56999969482422)","(45.0, 51.45000076293945, 85.90999603271484)"
19,2022-12-11 15:00:01.911854,"(39.150001525878906, 51.000003814697266, 83.48999786376953)","(36.45000076293945, 44.85000228881836, 68.24400329589844)","(40.95000076293945, 113.85000610351562, 98.97799682617188)","(33.900001525878906, 41.70000076293945, 92.20199584960938)","(51.150001525878906, 40.35000228881836, 94.13800048828125)","(19.05000114440918, 46.650001525878906, 79.13400268554688)","(6.0, 41.400001525878906, 19.360000610351562)","(46.05000305175781, 51.150001525878906, 86.1520004272461)"
20,2022-12-11 15:00:02.001915,"(37.95000076293945, 51.000003814697266, 79.3759994506836)","(37.5, 43.35000228881836, 68.72799682617188)","(42.30000305175781, 114.1500015258789, 98.4939956665039)","(34.650001525878906, 42.0, 91.23400115966797)","(51.000003814697266, 40.650001525878906, 92.9280014038086)","(19.350000381469727, 47.10000228881836, 78.6500015258789)","(6.600000381469727, 41.85000228881836, 16.697999954223633)","(46.5, 51.45000076293945, 83.48999786376953)"
21,2022-12-11 15:00:02.046997,"(40.80000305175781, 52.05000305175781, 80.10199737548828)","(36.900001525878906, 44.25, 67.2760009765625)","(43.20000076293945, 115.80000305175781, 97.04199981689453)","(36.45000076293945, 42.0, 88.33000183105469)","(51.150001525878906, 40.80000305175781, 92.20199584960938)","(20.400001525878906, 46.95000076293945, 77.44000244140625)","(6.900000095367432, 42.0, 15.729999542236328)","(46.80000305175781, 50.70000076293945, 82.27999877929688)"
22,2022-12-11 15:00:02.091956,"(40.05000305175781, 51.60000228881836, 77.197998046875)","(37.650001525878906, 43.80000305175781, 63.40399932861328)","(43.05000305175781, 114.1500015258789, 92.9280014038086)","(37.05000305175781, 42.45000076293945, 86.87799835205078)","(51.750003814697266, 40.5, 90.50800323486328)","(21.0, 46.80000305175781, 75.0199966430664)","(8.700000762939453, 41.400001525878906, 13.309999465942383)","(47.25, 51.000003814697266, 80.34400177001953)"
23,2022-12-11 15:00:02.181871,"(41.55000305175781, 52.80000305175781, 75.74600219726562)","(37.80000305175781, 44.25, 63.88800048828125)","(43.650001525878906, 113.70000457763672, 90.50800323486328)","(37.05000305175781, 42.60000228881836, 83.48999786376953)","(51.750003814697266, 40.20000076293945, 90.02400207519531)","(20.400001525878906, 46.650001525878906, 73.56800079345703)","(8.40000057220459, 41.85000228881836, 11.131999969482422)","(47.85000228881836, 51.45000076293945, 78.40799713134766)"
