,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 15:34:40.057602,"(28.200000762939453, 66.60000610351562, 94.62200164794922)","(28.05000114440918, 49.95000076293945, 78.40799713134766)","(37.95000076293945, 122.4000015258789, 99.94599914550781)","(38.70000076293945, 58.35000228881836, 86.1520004272461)","(46.05000305175781, 46.20000076293945, 90.50800323486328)","(7.650000095367432, 65.70000457763672, 67.51799774169922)","(1.8000000715255737, 56.55000305175781, 13.793999671936035)","(58.05000305175781, 66.30000305175781, 88.33000183105469)"
1,2022-12-11 15:34:40.147610,"(26.100000381469727, 66.30000305175781, 96.0739974975586)","(30.150001525878906, 50.55000305175781, 76.47200012207031)","(37.80000305175781, 120.9000015258789, 100.91400146484375)","(37.80000305175781, 58.650001525878906, 87.36199951171875)","(46.05000305175781, 45.75, 90.50800323486328)","(7.800000190734863, 65.85000610351562, 67.03399658203125)","(2.25, 57.000003814697266, 13.793999671936035)","(57.750003814697266, 66.45000457763672, 88.5719985961914)"
2,2022-12-11 15:34:40.191902,"(25.200000762939453, 66.60000610351562, 92.44400024414062)","(28.950000762939453, 49.20000076293945, 77.44000244140625)","(38.85000228881836, 120.45000457763672, 98.97799682617188)","(38.400001525878906, 58.35000228881836, 88.5719985961914)","(46.05000305175781, 46.05000305175781, 89.78199768066406)","(7.800000190734863, 66.30000305175781, 67.51799774169922)","(1.6500000953674316, 56.10000228881836, 14.519999504089355)","(57.900001525878906, 66.75, 87.60399627685547)"
3,2022-12-11 15:34:40.237265,"(26.400001525878906, 66.60000610351562, 96.80000305175781)","(29.55000114440918, 51.000003814697266, 74.77799987792969)","(38.55000305175781, 119.85000610351562, 103.33399963378906)","(39.45000076293945, 58.500003814697266, 85.4260025024414)","(46.5, 46.05000305175781, 90.02400207519531)","(8.100000381469727, 65.55000305175781, 67.51799774169922)","(1.6500000953674316, 57.150001525878906, 13.067999839782715)","(57.750003814697266, 66.60000610351562, 87.84600067138672)"
4,2022-12-11 15:34:40.327461,"(25.950000762939453, 67.80000305175781, 92.9280014038086)","(28.500001907348633, 47.55000305175781, 76.2300033569336)","(37.650001525878906, 121.6500015258789, 103.57599639892578)","(39.150001525878906, 58.650001525878906, 91.71800231933594)","(46.05000305175781, 46.20000076293945, 89.78199768066406)","(7.350000381469727, 65.70000457763672, 67.51799774169922)","(1.9500000476837158, 55.80000305175781, 13.552000045776367)","(57.750003814697266, 66.0, 88.08799743652344)"
5,2022-12-11 15:34:40.372149,"(26.55000114440918, 66.30000305175781, 93.89599609375)","(30.450000762939453, 50.10000228881836, 76.47200012207031)","(37.650001525878906, 121.35000610351562, 102.36599731445312)","(39.30000305175781, 59.250003814697266, 89.05599975585938)","(46.5, 46.5, 89.78199768066406)","(7.350000381469727, 65.85000610351562, 67.2760009765625)","(2.25, 56.10000228881836, 13.067999839782715)","(58.05000305175781, 66.30000305175781, 88.08799743652344)"
6,2022-12-11 15:34:40.462279,"(26.850000381469727, 67.95000457763672, 92.68599700927734)","(28.350000381469727, 48.900001525878906, 75.0199966430664)","(38.25, 120.9000015258789, 101.88199615478516)","(38.25, 59.85000228881836, 87.84600067138672)","(45.900001525878906, 46.35000228881836, 89.78199768066406)","(7.950000286102295, 65.70000457763672, 68.48600006103516)","(1.6500000953674316, 55.95000076293945, 13.793999671936035)","(58.05000305175781, 66.45000457763672, 88.08799743652344)"
7,2022-12-11 15:34:40.507303,"(24.900001525878906, 66.1500015258789, 94.86399841308594)","(28.950000762939453, 49.35000228881836, 75.98799896240234)","(37.35000228881836, 121.05000305175781, 100.18799591064453)","(40.35000228881836, 59.85000228881836, 91.23400115966797)","(46.650001525878906, 46.05000305175781, 90.02400207519531)","(7.800000190734863, 65.85000610351562, 67.03399658203125)","(2.4000000953674316, 56.250003814697266, 14.519999504089355)","(57.60000228881836, 66.75, 88.08799743652344)"
8,2022-12-11 15:34:40.552481,"(26.250001907348633, 65.55000305175781, 95.58999633789062)","(28.950000762939453, 47.85000228881836, 74.77799987792969)","(37.20000076293945, 120.1500015258789, 101.63999938964844)","(38.10000228881836, 58.80000305175781, 89.05599975585938)","(45.75, 46.05000305175781, 89.2979965209961)","(7.350000381469727, 65.4000015258789, 67.2760009765625)","(1.8000000715255737, 55.35000228881836, 12.583999633789062)","(57.60000228881836, 67.05000305175781, 88.33000183105469)"
9,2022-12-11 15:34:40.641892,"(27.000001907348633, 66.1500015258789, 93.65399932861328)","(28.500001907348633, 49.20000076293945, 75.0199966430664)","(38.70000076293945, 121.50000762939453, 100.18799591064453)","(38.85000228881836, 59.10000228881836, 87.12000274658203)","(46.650001525878906, 46.35000228881836, 90.02400207519531)","(8.100000381469727, 65.55000305175781, 67.2760009765625)","(1.9500000476837158, 56.55000305175781, 12.583999633789062)","(57.45000076293945, 66.1500015258789, 88.33000183105469)"
