,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 15:54:23.307448,"(50.55000305175781, 32.400001525878906, 52.513999938964844)","(41.25, 40.650001525878906, 58.07999801635742)","(42.150001525878906, 102.1500015258789, 90.02400207519531)","(9.90000057220459, 10.050000190734863, 95.10600280761719)","(56.400001525878906, 41.85000228881836, 101.15599822998047)","(32.25, 43.95000076293945, 99.46199798583984)","(14.250000953674316, 35.85000228881836, 23.95800018310547)","(47.400001525878906, 29.400001525878906, 81.06999969482422)"
1,2022-12-11 15:54:23.352238,"(51.60000228881836, 33.60000228881836, 48.15800094604492)","(41.400001525878906, 39.75, 54.933998107910156)","(42.900001525878906, 100.20000457763672, 87.60399627685547)","(9.15000057220459, 8.850000381469727, 97.04199981689453)","(56.55000305175781, 41.55000305175781, 99.94599914550781)","(32.10000228881836, 44.400001525878906, 99.46199798583984)","(15.15000057220459, 35.70000076293945, 24.68400001525879)","(47.10000228881836, 28.950000762939453, 81.55400085449219)"
2,2022-12-11 15:54:23.442014,"(52.05000305175781, 33.150001525878906, 51.0620002746582)","(39.30000305175781, 40.95000076293945, 55.902000427246094)","(41.85000228881836, 102.75000762939453, 88.33000183105469)","(9.600000381469727, 10.5, 94.86399841308594)","(57.000003814697266, 41.400001525878906, 100.91400146484375)","(31.80000114440918, 44.10000228881836, 99.7040023803711)","(14.550000190734863, 35.70000076293945, 24.200000762939453)","(47.55000305175781, 29.55000114440918, 82.27999877929688)"
3,2022-12-11 15:54:23.486862,"(52.20000076293945, 33.60000228881836, 46.947998046875)","(40.5, 41.10000228881836, 54.20800018310547)","(43.05000305175781, 101.55000305175781, 88.08799743652344)","(10.200000762939453, 10.050000190734863, 95.58999633789062)","(56.400001525878906, 42.150001525878906, 101.15599822998047)","(31.80000114440918, 44.85000228881836, 100.18799591064453)","(14.850000381469727, 36.150001525878906, 25.40999984741211)","(47.85000228881836, 29.55000114440918, 82.52200317382812)"
4,2022-12-11 15:54:23.532403,"(52.95000076293945, 35.25, 49.61000061035156)","(42.0, 40.95000076293945, 53.481998443603516)","(41.85000228881836, 100.6500015258789, 88.08799743652344)","(9.15000057220459, 8.25, 92.68599700927734)","(56.55000305175781, 42.0, 100.91400146484375)","(32.10000228881836, 45.0, 99.94599914550781)","(15.750000953674316, 35.70000076293945, 24.200000762939453)","(47.70000076293945, 29.700000762939453, 81.55400085449219)"
5,2022-12-11 15:54:23.622538,"(50.55000305175781, 34.20000076293945, 46.22200012207031)","(42.60000228881836, 40.95000076293945, 55.902000427246094)","(43.650001525878906, 101.55000305175781, 89.78199768066406)","(10.050000190734863, 9.450000762939453, 96.0739974975586)","(55.95000076293945, 42.45000076293945, 99.94599914550781)","(31.950000762939453, 44.400001525878906, 99.46199798583984)","(15.300000190734863, 35.85000228881836, 24.441999435424805)","(48.150001525878906, 29.700000762939453, 81.55400085449219)"
6,2022-12-11 15:54:23.667038,"(51.900001525878906, 34.5, 47.43199920654297)","(41.55000305175781, 40.650001525878906, 55.902000427246094)","(44.10000228881836, 102.1500015258789, 88.81400299072266)","(8.100000381469727, 9.0, 97.76799774169922)","(56.250003814697266, 41.70000076293945, 100.6719970703125)","(31.650001525878906, 44.85000228881836, 100.6719970703125)","(15.450000762939453, 36.150001525878906, 25.40999984741211)","(48.0, 29.850000381469727, 82.03800201416016)"
7,2022-12-11 15:54:23.757039,"(50.400001525878906, 34.5, 46.4640007019043)","(40.35000228881836, 40.650001525878906, 52.27199935913086)","(42.900001525878906, 101.25000762939453, 89.05599975585938)","(8.40000057220459, 7.950000286102295, 94.62200164794922)","(56.55000305175781, 42.45000076293945, 100.43000030517578)","(32.55000305175781, 45.60000228881836, 100.6719970703125)","(15.300000190734863, 36.150001525878906, 25.893999099731445)","(48.60000228881836, 29.850000381469727, 82.76399993896484)"
8,2022-12-11 15:54:23.802146,"(48.750003814697266, 35.70000076293945, 46.947998046875)","(40.05000305175781, 40.05000305175781, 53.965999603271484)","(42.60000228881836, 102.75000762939453, 85.4260025024414)","(9.600000381469727, 10.200000762939453, 95.3479995727539)","(56.85000228881836, 42.0, 100.91400146484375)","(32.55000305175781, 45.150001525878906, 99.7040023803711)","(15.600000381469727, 35.85000228881836, 24.926000595092773)","(49.500003814697266, 29.55000114440918, 82.27999877929688)"
9,2022-12-11 15:54:23.847225,"(49.95000076293945, 35.85000228881836, 48.15800094604492)","(41.70000076293945, 40.95000076293945, 53.7239990234375)","(42.30000305175781, 102.45000457763672, 85.90999603271484)","(10.350000381469727, 9.300000190734863, 94.13800048828125)","(56.85000228881836, 41.70000076293945, 100.91400146484375)","(32.25, 44.70000076293945, 100.18799591064453)","(15.600000381469727, 36.150001525878906, 25.652000427246094)","(48.60000228881836, 30.30000114440918, 82.76399993896484)"
10,2022-12-11 15:54:23.982097,"(50.400001525878906, 33.0, 49.85200119018555)","(40.20000076293945, 40.95000076293945, 53.965999603271484)","(42.60000228881836, 101.70000457763672, 89.05599975585938)","(10.050000190734863, 10.200000762939453, 92.68599700927734)","(56.70000076293945, 42.30000305175781, 100.91400146484375)","(32.55000305175781, 45.150001525878906, 99.94599914550781)","(15.000000953674316, 36.0, 25.40999984741211)","(48.750003814697266, 28.80000114440918, 81.7959976196289)"
11,2022-12-11 15:54:24.027278,"(52.20000076293945, 33.900001525878906, 45.737998962402344)","(40.650001525878906, 41.25, 56.14400100708008)","(43.20000076293945, 102.75000762939453, 87.84600067138672)","(9.300000190734863, 9.450000762939453, 94.62200164794922)","(56.85000228881836, 42.150001525878906, 101.39800262451172)","(32.25, 44.85000228881836, 99.46199798583984)","(15.300000190734863, 36.0, 25.652000427246094)","(48.30000305175781, 29.850000381469727, 82.52200317382812)"
12,2022-12-11 15:54:24.028694,"(49.650001525878906, 33.60000228881836, 46.947998046875)","(40.20000076293945, 41.10000228881836, 54.20800018310547)","(43.20000076293945, 101.70000457763672, 86.63600158691406)","(9.450000762939453, 9.450000762939453, 94.13800048828125)","(56.70000076293945, 42.0, 101.39800262451172)","(32.25, 44.85000228881836, 100.6719970703125)","(15.750000953674316, 36.30000305175781, 24.68400001525879)","(48.45000076293945, 29.700000762939453, 82.76399993896484)"
13,2022-12-11 15:54:24.117167,"(52.05000305175781, 33.0, 50.093997955322266)","(39.900001525878906, 41.85000228881836, 54.933998107910156)","(43.20000076293945, 101.25000762939453, 90.75)","(9.300000190734863, 10.65000057220459, 94.86399841308594)","(56.400001525878906, 42.0, 100.6719970703125)","(32.400001525878906, 45.30000305175781, 100.91400146484375)","(15.90000057220459, 36.60000228881836, 25.40999984741211)","(47.70000076293945, 29.55000114440918, 83.00599670410156)"
14,2022-12-11 15:54:24.162142,"(52.05000305175781, 34.650001525878906, 47.189998626708984)","(41.400001525878906, 40.35000228881836, 56.869998931884766)","(43.35000228881836, 103.95000457763672, 87.60399627685547)","(9.75, 8.40000057220459, 92.68599700927734)","(56.400001525878906, 42.0, 100.43000030517578)","(31.500001907348633, 45.150001525878906, 100.43000030517578)","(15.300000190734863, 36.150001525878906, 26.13599967956543)","(48.0, 29.55000114440918, 81.55400085449219)"
15,2022-12-11 15:54:24.207174,"(51.45000076293945, 36.150001525878906, 46.4640007019043)","(42.45000076293945, 40.5, 55.65999984741211)","(44.10000228881836, 103.05000305175781, 88.08799743652344)","(11.40000057220459, 9.300000190734863, 93.41200256347656)","(56.400001525878906, 42.30000305175781, 100.91400146484375)","(32.400001525878906, 45.30000305175781, 101.15599822998047)","(16.200000762939453, 36.45000076293945, 26.619998931884766)","(48.0, 29.400001525878906, 83.9739990234375)"
16,2022-12-11 15:54:24.297337,"(49.95000076293945, 36.75, 47.67399978637695)","(40.80000305175781, 44.10000228881836, 55.17599868774414)","(43.05000305175781, 103.80000305175781, 87.36199951171875)","(11.850000381469727, 8.25, 92.68599700927734)","(56.70000076293945, 42.60000228881836, 100.91400146484375)","(32.10000228881836, 45.150001525878906, 100.43000030517578)","(15.600000381469727, 36.75, 26.378000259399414)","(48.45000076293945, 29.100000381469727, 82.76399993896484)"
17,2022-12-11 15:54:24.341969,"(51.45000076293945, 38.10000228881836, 44.2859992980957)","(42.150001525878906, 42.900001525878906, 53.481998443603516)","(44.70000076293945, 104.25000762939453, 89.54000091552734)","(10.950000762939453, 7.500000476837158, 94.13800048828125)","(56.400001525878906, 42.0, 100.43000030517578)","(31.80000114440918, 45.900001525878906, 101.15599822998047)","(15.750000953674316, 36.60000228881836, 25.40999984741211)","(49.05000305175781, 29.250001907348633, 83.48999786376953)"
18,2022-12-11 15:54:24.432556,"(54.000003814697266, 39.30000305175781, 44.77000045776367)","(42.30000305175781, 44.10000228881836, 54.933998107910156)","(43.05000305175781, 103.80000305175781, 85.66799926757812)","(10.950000762939453, 6.300000190734863, 90.26599884033203)","(56.250003814697266, 42.60000228881836, 101.63999938964844)","(31.80000114440918, 45.45000076293945, 101.88199615478516)","(16.05000114440918, 36.60000228881836, 26.378000259399414)","(49.05000305175781, 30.000001907348633, 84.45800018310547)"
19,2022-12-11 15:54:24.476924,"(52.05000305175781, 39.30000305175781, 43.560001373291016)","(42.150001525878906, 44.55000305175781, 55.17599868774414)","(44.70000076293945, 102.45000457763672, 87.36199951171875)","(12.90000057220459, 8.25, 92.20199584960938)","(56.250003814697266, 42.30000305175781, 100.6719970703125)","(31.950000762939453, 45.75, 101.88199615478516)","(16.650001525878906, 37.35000228881836, 25.893999099731445)","(49.500003814697266, 29.55000114440918, 84.69999694824219)"
20,2022-12-11 15:54:24.522253,"(53.10000228881836, 39.75, 40.89799880981445)","(41.10000228881836, 43.650001525878906, 54.20800018310547)","(44.400001525878906, 104.25000762939453, 87.60399627685547)","(12.15000057220459, 7.800000190734863, 89.78199768066406)","(56.85000228881836, 42.60000228881836, 100.91400146484375)","(31.950000762939453, 45.900001525878906, 102.60800170898438)","(16.05000114440918, 37.5, 26.378000259399414)","(48.45000076293945, 29.250001907348633, 84.21599578857422)"
21,2022-12-11 15:54:24.612192,"(52.95000076293945, 39.75, 43.560001373291016)","(42.0, 43.05000305175781, 53.7239990234375)","(45.30000305175781, 105.1500015258789, 85.18399810791016)","(13.65000057220459, 5.700000286102295, 90.75)","(56.70000076293945, 42.60000228881836, 101.15599822998047)","(31.80000114440918, 46.5, 102.8499984741211)","(17.25, 36.900001525878906, 27.104000091552734)","(49.05000305175781, 28.950000762939453, 85.18399810791016)"
22,2022-12-11 15:54:24.657340,"(53.250003814697266, 39.150001525878906, 40.65599822998047)","(42.45000076293945, 43.5, 52.99800109863281)","(45.900001525878906, 103.35000610351562, 85.18399810791016)","(15.600000381469727, 8.550000190734863, 89.05599975585938)","(56.400001525878906, 42.45000076293945, 101.39800262451172)","(31.650001525878906, 46.5, 102.36599731445312)","(17.100000381469727, 37.20000076293945, 26.619998931884766)","(49.05000305175781, 29.100000381469727, 84.45800018310547)"
23,2022-12-11 15:54:24.702112,"(53.85000228881836, 42.900001525878906, 42.349998474121094)","(41.55000305175781, 43.95000076293945, 52.513999938964844)","(44.25, 103.20000457763672, 86.63600158691406)","(14.250000953674316, 7.650000095367432, 88.81400299072266)","(56.400001525878906, 42.900001525878906, 101.39800262451172)","(31.950000762939453, 45.900001525878906, 101.88199615478516)","(16.05000114440918, 37.05000305175781, 27.104000091552734)","(49.35000228881836, 29.250001907348633, 84.69999694824219)"
24,2022-12-11 15:54:24.792277,"(53.85000228881836, 40.80000305175781, 42.83399963378906)","(41.400001525878906, 44.85000228881836, 53.481998443603516)","(45.60000228881836, 104.25000762939453, 84.45800018310547)","(13.65000057220459, 7.200000286102295, 89.54000091552734)","(56.70000076293945, 42.900001525878906, 101.15599822998047)","(31.500001907348633, 46.5, 102.36599731445312)","(16.5, 37.35000228881836, 27.58799934387207)","(48.900001525878906, 29.100000381469727, 84.94200134277344)"
25,2022-12-11 15:54:24.837396,"(54.000003814697266, 41.10000228881836, 39.20399856567383)","(42.150001525878906, 45.60000228881836, 50.577999114990234)","(45.45000076293945, 103.20000457763672, 86.1520004272461)","(15.450000762939453, 5.850000381469727, 89.05599975585938)","(56.400001525878906, 43.05000305175781, 101.63999938964844)","(30.900001525878906, 46.05000305175781, 102.8499984741211)","(16.5, 37.650001525878906, 27.104000091552734)","(49.95000076293945, 28.80000114440918, 85.66799926757812)"
26,2022-12-11 15:54:24.927185,"(55.500003814697266, 41.70000076293945, 40.89799880981445)","(42.0, 45.45000076293945, 52.513999938964844)","(45.30000305175781, 103.05000305175781, 86.39399719238281)","(14.850000381469727, 7.200000286102295, 92.9280014038086)","(56.55000305175781, 42.900001525878906, 101.63999938964844)","(31.350000381469727, 46.650001525878906, 102.8499984741211)","(16.5, 37.5, 27.829999923706055)","(49.20000076293945, 28.650001525878906, 84.94200134277344)"
27,2022-12-11 15:54:24.972177,"(54.45000076293945, 40.95000076293945, 39.20399856567383)","(43.35000228881836, 45.0, 52.75600051879883)","(47.400001525878906, 104.4000015258789, 84.69999694824219)","(15.000000953674316, 5.550000190734863, 91.23400115966797)","(56.85000228881836, 42.900001525878906, 101.39800262451172)","(31.05000114440918, 46.95000076293945, 102.8499984741211)","(17.100000381469727, 36.60000228881836, 27.829999923706055)","(48.750003814697266, 29.100000381469727, 84.69999694824219)"
28,2022-12-11 15:54:25.017185,"(53.85000228881836, 42.60000228881836, 40.41400146484375)","(44.400001525878906, 45.900001525878906, 51.54600143432617)","(46.20000076293945, 104.10000610351562, 83.00599670410156)","(15.000000953674316, 5.850000381469727, 88.33000183105469)","(56.400001525878906, 42.900001525878906, 101.39800262451172)","(31.500001907348633, 46.5, 103.09200286865234)","(16.5, 36.60000228881836, 26.86199951171875)","(48.750003814697266, 28.80000114440918, 85.18399810791016)"
