,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 16:01:56.638295,"(95.85000610351562, 28.950000762939453, 40.65599822998047)","(59.55000305175781, 38.55000305175781, 57.59600067138672)","(52.500003814697266, 92.85000610351562, 94.86399841308594)","(-3.750000238418579, -6.600000381469727, 134.79400634765625)","(57.150001525878906, 38.25, 99.46199798583984)","(31.950000762939453, 34.80000305175781, 91.47599792480469)","(14.550000190734863, 29.55000114440918, 21.29599952697754)","(44.25, 30.900001525878906, 66.79199981689453)"
1,2022-12-11 16:01:56.683376,"(95.4000015258789, 26.700000762939453, 41.13999938964844)","(58.20000076293945, 39.900001525878906, 58.321998596191406)","(52.20000076293945, 93.0, 97.5260009765625)","(-2.8500001430511475, -5.25, 138.1820068359375)","(57.45000076293945, 37.80000305175781, 100.18799591064453)","(31.950000762939453, 34.650001525878906, 90.99199676513672)","(15.750000953674316, 28.350000381469727, 21.780000686645508)","(43.35000228881836, 30.600000381469727, 67.03399658203125)"
2,2022-12-11 16:01:56.773192,"(95.55000305175781, 28.05000114440918, 39.93000030517578)","(57.900001525878906, 39.75, 59.290000915527344)","(53.70000076293945, 92.70000457763672, 95.83200073242188)","(-0.30000001192092896, -2.8500001430511475, 136.48800659179688)","(57.750003814697266, 38.25, 99.46199798583984)","(31.950000762939453, 33.900001525878906, 90.75)","(14.550000190734863, 29.100000381469727, 19.601999282836914)","(43.5, 31.650001525878906, 66.55000305175781)"
3,2022-12-11 16:01:56.818312,"(95.55000305175781, 29.250001907348633, 39.6879997253418)","(58.650001525878906, 41.25, 57.354000091552734)","(52.80000305175781, 92.70000457763672, 96.31600189208984)","(0.75, -5.850000381469727, 134.30999755859375)","(57.30000305175781, 37.650001525878906, 100.43000030517578)","(31.950000762939453, 34.5, 91.23400115966797)","(14.250000953674316, 28.80000114440918, 22.989999771118164)","(43.80000305175781, 31.350000381469727, 67.03399658203125)"
4,2022-12-11 16:01:56.908565,"(96.0, 28.200000762939453, 39.44599914550781)","(57.60000228881836, 41.10000228881836, 55.902000427246094)","(53.400001525878906, 94.35000610351562, 97.5260009765625)","(0.15000000596046448, -5.700000286102295, 136.24600219726562)","(57.000003814697266, 37.650001525878906, 99.7040023803711)","(32.400001525878906, 34.35000228881836, 90.99199676513672)","(14.700000762939453, 28.200000762939453, 20.812000274658203)","(43.05000305175781, 31.200000762939453, 67.51799774169922)"
5,2022-12-11 16:01:56.953131,"(96.45000457763672, 29.55000114440918, 41.13999938964844)","(57.900001525878906, 40.35000228881836, 57.354000091552734)","(51.45000076293945, 94.05000305175781, 95.83200073242188)","(2.700000047683716, -5.400000095367432, 132.61599731445312)","(57.150001525878906, 38.10000228881836, 100.18799591064453)","(31.500001907348633, 34.20000076293945, 91.71800231933594)","(14.40000057220459, 29.400001525878906, 21.29599952697754)","(42.45000076293945, 30.000001907348633, 67.51799774169922)"
6,2022-12-11 16:01:56.998063,"(94.80000305175781, 30.900001525878906, 39.6879997253418)","(57.45000076293945, 40.650001525878906, 59.53200149536133)","(52.35000228881836, 93.9000015258789, 96.80000305175781)","(1.6500000953674316, -5.25, 136.24600219726562)","(56.55000305175781, 37.95000076293945, 99.94599914550781)","(31.350000381469727, 34.20000076293945, 90.50800323486328)","(14.550000190734863, 29.700000762939453, 21.053998947143555)","(43.20000076293945, 30.600000381469727, 67.03399658203125)"
7,2022-12-11 16:01:57.088021,"(94.6500015258789, 30.30000114440918, 41.86600112915039)","(59.250003814697266, 39.900001525878906, 56.14400100708008)","(52.80000305175781, 92.55000305175781, 97.5260009765625)","(3.450000047683716, -6.300000190734863, 135.2779998779297)","(57.000003814697266, 37.650001525878906, 99.7040023803711)","(31.650001525878906, 34.95000076293945, 91.47599792480469)","(14.700000762939453, 29.100000381469727, 22.02199935913086)","(43.05000305175781, 30.900001525878906, 66.55000305175781)"
8,2022-12-11 16:01:57.133013,"(95.70000457763672, 29.400001525878906, 41.86600112915039)","(59.10000228881836, 40.650001525878906, 57.59600067138672)","(53.10000228881836, 94.80000305175781, 97.04199981689453)","(3.1500000953674316, -4.950000286102295, 136.00399780273438)","(56.70000076293945, 37.20000076293945, 99.7040023803711)","(31.80000114440918, 34.20000076293945, 91.23400115966797)","(14.250000953674316, 29.400001525878906, 22.02199935913086)","(42.900001525878906, 30.900001525878906, 67.03399658203125)"
9,2022-12-11 16:01:57.178056,"(96.0, 31.650001525878906, 41.86600112915039)","(58.20000076293945, 40.95000076293945, 57.354000091552734)","(52.35000228881836, 95.55000305175781, 98.01000213623047)","(1.6500000953674316, -5.25, 135.76199340820312)","(57.000003814697266, 37.95000076293945, 98.97799682617188)","(31.80000114440918, 34.35000228881836, 90.99199676513672)","(15.15000057220459, 29.100000381469727, 21.538000106811523)","(43.35000228881836, 30.750001907348633, 67.03399658203125)"
