,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 16:00:08.683528,"(-22.80000114440918, 72.9000015258789, 119.30599975585938)","(7.350000381469727, 48.900001525878906, 82.52200317382812)","(24.150001525878906, 130.35000610351562, 99.7040023803711)","(46.5, 82.80000305175781, 60.742000579833984)","(46.20000076293945, 48.0, 89.78199768066406)","(10.800000190734863, 67.6500015258789, 73.08399963378906)","(1.6500000953674316, 60.45000076293945, 16.214000701904297)","(57.30000305175781, 65.70000457763672, 100.6719970703125)"
1,2022-12-11 16:00:08.728062,"(-22.80000114440918, 72.1500015258789, 120.75799560546875)","(9.450000762939453, 48.0, 82.27999877929688)","(24.0, 129.45001220703125, 99.46199798583984)","(48.45000076293945, 82.5, 62.194000244140625)","(46.35000228881836, 48.0, 90.26599884033203)","(11.550000190734863, 67.5, 73.08399963378906)","(1.8000000715255737, 60.150001525878906, 16.214000701904297)","(57.750003814697266, 66.0, 100.91400146484375)"
2,2022-12-11 16:00:08.773577,"(-22.950000762939453, 72.30000305175781, 118.33799743652344)","(8.100000381469727, 49.05000305175781, 81.7959976196289)","(22.950000762939453, 128.25, 100.6719970703125)","(47.25, 82.5, 63.88800048828125)","(46.5, 48.30000305175781, 89.54000091552734)","(10.950000762939453, 68.10000610351562, 73.32599639892578)","(2.25, 60.60000228881836, 16.45599937438965)","(57.900001525878906, 66.30000305175781, 100.6719970703125)"
3,2022-12-11 16:00:08.863132,"(-24.900001525878906, 71.25, 122.45199584960938)","(9.0, 48.60000228881836, 82.27999877929688)","(22.650001525878906, 129.0, 99.7040023803711)","(46.35000228881836, 83.4000015258789, 61.22599792480469)","(46.80000305175781, 48.0, 89.54000091552734)","(11.700000762939453, 67.5, 72.84200286865234)","(1.9500000476837158, 60.30000305175781, 15.729999542236328)","(57.900001525878906, 66.30000305175781, 100.6719970703125)"
4,2022-12-11 16:00:08.908404,"(-25.650001525878906, 71.25, 120.75799560546875)","(7.350000381469727, 48.900001525878906, 83.00599670410156)","(23.400001525878906, 130.20001220703125, 99.46199798583984)","(47.25, 82.95000457763672, 62.43600082397461)","(46.35000228881836, 48.0, 89.78199768066406)","(11.40000057220459, 67.95000457763672, 74.052001953125)","(1.8000000715255737, 60.150001525878906, 15.972000122070312)","(57.900001525878906, 66.30000305175781, 100.6719970703125)"
5,2022-12-11 16:00:08.953071,"(-25.80000114440918, 71.25, 121.0)","(8.550000190734863, 48.150001525878906, 80.34400177001953)","(24.750001907348633, 130.5, 100.43000030517578)","(47.10000228881836, 85.05000305175781, 62.43600082397461)","(46.80000305175781, 48.0, 90.26599884033203)","(11.850000381469727, 68.10000610351562, 74.052001953125)","(2.4000000953674316, 60.30000305175781, 14.76200008392334)","(57.60000228881836, 65.25, 100.91400146484375)"
6,2022-12-11 16:00:09.042938,"(-24.450000762939453, 70.5, 122.20999908447266)","(7.800000190734863, 48.750003814697266, 81.31199645996094)","(24.750001907348633, 128.25, 98.4939956665039)","(46.5, 83.70000457763672, 62.91999816894531)","(46.650001525878906, 47.70000076293945, 90.02400207519531)","(11.40000057220459, 67.6500015258789, 73.56800079345703)","(2.1000001430511475, 60.60000228881836, 15.972000122070312)","(57.900001525878906, 65.70000457763672, 101.15599822998047)"
7,2022-12-11 16:00:09.088076,"(-25.950000762939453, 73.20000457763672, 119.5479965209961)","(7.800000190734863, 49.05000305175781, 82.76399993896484)","(24.150001525878906, 130.0500030517578, 102.60800170898438)","(46.5, 83.85000610351562, 60.742000579833984)","(46.5, 48.150001525878906, 89.2979965209961)","(11.100000381469727, 67.80000305175781, 73.80999755859375)","(2.25, 60.750003814697266, 16.940000534057617)","(57.60000228881836, 65.55000305175781, 99.46199798583984)"
8,2022-12-11 16:00:09.178053,"(-23.55000114440918, 72.30000305175781, 119.79000091552734)","(8.850000381469727, 49.500003814697266, 81.31199645996094)","(25.05000114440918, 128.85000610351562, 100.6719970703125)","(48.750003814697266, 83.10000610351562, 60.5)","(46.80000305175781, 48.150001525878906, 89.54000091552734)","(11.700000762939453, 68.10000610351562, 73.56800079345703)","(2.4000000953674316, 61.05000305175781, 16.214000701904297)","(58.05000305175781, 66.30000305175781, 101.39800262451172)"
9,2022-12-11 16:00:09.222931,"(-23.55000114440918, 71.55000305175781, 122.93599700927734)","(8.850000381469727, 48.60000228881836, 79.61799621582031)","(24.900001525878906, 128.70001220703125, 101.88199615478516)","(46.05000305175781, 85.5, 60.98400115966797)","(46.650001525878906, 48.150001525878906, 89.54000091552734)","(11.25, 67.80000305175781, 72.5999984741211)","(2.5500001907348633, 60.60000228881836, 16.697999954223633)","(58.650001525878906, 66.1500015258789, 100.6719970703125)"
10,2022-12-11 16:00:09.268107,"(-26.100000381469727, 71.85000610351562, 123.90399932861328)","(7.500000476837158, 48.45000076293945, 83.00599670410156)","(23.100000381469727, 130.35000610351562, 102.60800170898438)","(46.5, 84.45000457763672, 63.1619987487793)","(46.95000076293945, 48.150001525878906, 89.2979965209961)","(11.700000762939453, 68.70000457763672, 73.32599639892578)","(2.8500001430511475, 59.70000076293945, 15.729999542236328)","(58.05000305175781, 66.1500015258789, 102.36599731445312)"
11,2022-12-11 16:00:09.358417,"(-27.000001907348633, 70.35000610351562, 126.08200073242188)","(8.700000762939453, 47.55000305175781, 82.27999877929688)","(24.450000762939453, 128.70001220703125, 99.46199798583984)","(47.55000305175781, 84.9000015258789, 61.95199966430664)","(47.10000228881836, 47.85000228881836, 90.26599884033203)","(11.550000190734863, 68.4000015258789, 72.84200286865234)","(2.5500001907348633, 60.750003814697266, 16.45599937438965)","(58.95000076293945, 67.20000457763672, 101.63999938964844)"
12,2022-12-11 16:00:09.403138,"(-26.55000114440918, 69.75, 126.56600189208984)","(7.500000476837158, 49.650001525878906, 81.55400085449219)","(22.80000114440918, 128.85000610351562, 99.46199798583984)","(48.45000076293945, 85.5, 61.709999084472656)","(46.35000228881836, 47.85000228881836, 89.54000091552734)","(11.700000762939453, 69.0, 73.56800079345703)","(1.9500000476837158, 61.35000228881836, 15.729999542236328)","(57.60000228881836, 66.30000305175781, 101.39800262451172)"
13,2022-12-11 16:00:09.448029,"(-26.55000114440918, 71.70000457763672, 123.90399932861328)","(7.200000286102295, 48.900001525878906, 82.76399993896484)","(23.55000114440918, 131.40000915527344, 99.94599914550781)","(46.650001525878906, 86.4000015258789, 58.321998596191406)","(46.20000076293945, 47.55000305175781, 90.02400207519531)","(11.850000381469727, 68.10000610351562, 72.5999984741211)","(2.25, 60.60000228881836, 16.940000534057617)","(58.80000305175781, 66.0, 101.15599822998047)"
14,2022-12-11 16:00:09.537576,"(-27.000001907348633, 71.25, 122.93599700927734)","(5.550000190734863, 48.45000076293945, 83.9739990234375)","(22.5, 132.3000030517578, 101.15599822998047)","(46.05000305175781, 85.80000305175781, 60.257999420166016)","(46.35000228881836, 47.85000228881836, 89.2979965209961)","(11.100000381469727, 68.4000015258789, 73.80999755859375)","(1.9500000476837158, 60.45000076293945, 16.214000701904297)","(58.35000228881836, 66.45000457763672, 101.63999938964844)"
15,2022-12-11 16:00:09.583147,"(-28.500001907348633, 70.05000305175781, 123.90399932861328)","(7.650000095367432, 49.05000305175781, 83.24800109863281)","(24.150001525878906, 131.10000610351562, 101.63999938964844)","(47.25, 83.85000610351562, 61.46799850463867)","(46.650001525878906, 47.70000076293945, 89.2979965209961)","(11.25, 68.4000015258789, 73.56800079345703)","(2.700000047683716, 60.150001525878906, 15.972000122070312)","(58.35000228881836, 66.75, 100.6719970703125)"
16,2022-12-11 16:00:09.718026,"(-28.05000114440918, 69.9000015258789, 125.83999633789062)","(6.900000095367432, 48.750003814697266, 83.9739990234375)","(24.150001525878906, 129.0, 101.15599822998047)","(47.400001525878906, 86.25, 61.709999084472656)","(46.650001525878906, 47.400001525878906, 89.2979965209961)","(12.300000190734863, 68.55000305175781, 73.08399963378906)","(2.5500001907348633, 60.750003814697266, 15.972000122070312)","(58.80000305175781, 66.30000305175781, 101.63999938964844)"
17,2022-12-11 16:00:09.719062,"(-28.05000114440918, 68.25, 128.5019989013672)","(6.150000095367432, 46.80000305175781, 83.48999786376953)","(24.150001525878906, 129.45001220703125, 102.1240005493164)","(46.650001525878906, 85.5, 61.22599792480469)","(46.650001525878906, 48.30000305175781, 89.2979965209961)","(12.450000762939453, 68.4000015258789, 73.56800079345703)","(2.700000047683716, 61.500003814697266, 15.48799991607666)","(58.95000076293945, 66.0, 101.88199615478516)"
18,2022-12-11 16:00:09.763331,"(-27.000001907348633, 70.05000305175781, 126.08200073242188)","(6.300000190734863, 47.400001525878906, 82.03800201416016)","(23.400001525878906, 129.15000915527344, 100.43000030517578)","(45.75, 84.60000610351562, 60.01599884033203)","(46.35000228881836, 48.0, 89.2979965209961)","(12.300000190734863, 68.4000015258789, 74.052001953125)","(2.8500001430511475, 60.900001525878906, 16.214000701904297)","(59.400001525878906, 66.60000610351562, 101.88199615478516)"
19,2022-12-11 16:00:09.853222,"(-28.80000114440918, 67.6500015258789, 124.87200164794922)","(7.200000286102295, 48.150001525878906, 83.24800109863281)","(23.700000762939453, 129.90000915527344, 101.15599822998047)","(46.20000076293945, 85.05000305175781, 60.98400115966797)","(46.650001525878906, 48.0, 89.78199768066406)","(12.15000057220459, 68.70000457763672, 73.80999755859375)","(3.9000000953674316, 60.30000305175781, 15.48799991607666)","(58.95000076293945, 66.1500015258789, 101.39800262451172)"
20,2022-12-11 16:00:09.898099,"(-28.80000114440918, 69.60000610351562, 125.83999633789062)","(6.900000095367432, 47.25, 82.76399993896484)","(23.25, 130.0500030517578, 102.60800170898438)","(45.900001525878906, 85.35000610351562, 61.709999084472656)","(47.25, 48.150001525878906, 89.05599975585938)","(12.600000381469727, 69.0, 73.80999755859375)","(3.6000001430511475, 61.80000305175781, 16.940000534057617)","(59.55000305175781, 66.1500015258789, 101.63999938964844)"
21,2022-12-11 16:00:09.943030,"(-28.950000762939453, 67.6500015258789, 127.29199981689453)","(6.900000095367432, 48.60000228881836, 83.00599670410156)","(23.850000381469727, 130.20001220703125, 100.6719970703125)","(45.45000076293945, 86.4000015258789, 60.5)","(47.400001525878906, 48.150001525878906, 89.78199768066406)","(12.15000057220459, 69.45000457763672, 74.53600311279297)","(3.3000001907348633, 60.60000228881836, 15.729999542236328)","(59.70000076293945, 66.45000457763672, 102.60800170898438)"
22,2022-12-11 16:00:10.033314,"(-28.350000381469727, 68.85000610351562, 127.7760009765625)","(7.650000095367432, 47.70000076293945, 83.9739990234375)","(23.25, 129.3000030517578, 98.73600006103516)","(46.20000076293945, 85.5, 59.77399826049805)","(46.80000305175781, 48.45000076293945, 89.78199768066406)","(12.90000057220459, 69.45000457763672, 74.052001953125)","(4.200000286102295, 61.500003814697266, 16.697999954223633)","(60.60000228881836, 65.55000305175781, 102.8499984741211)"
