,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 15:37:59.674967,"(30.30000114440918, 38.55000305175781, 106.72200012207031)","(31.350000381469727, 37.20000076293945, 81.55400085449219)","(36.150001525878906, 107.10000610351562, 106.96399688720703)","(22.350000381469727, 45.0, 110.11000061035156)","(48.0, 36.60000228881836, 89.05599975585938)","(11.100000381469727, 36.60000228881836, 62.43600082397461)","(-4.050000190734863, 36.900001525878906, 7.74399995803833)","(32.400001525878906, 51.000003814697266, 66.55000305175781)"
1,2022-12-11 15:37:59.764820,"(30.000001907348633, 38.85000228881836, 107.20600128173828)","(31.05000114440918, 38.55000305175781, 79.13400268554688)","(35.70000076293945, 107.10000610351562, 107.447998046875)","(20.700000762939453, 47.10000228881836, 112.77200317382812)","(48.30000305175781, 37.05000305175781, 89.2979965209961)","(10.950000762939453, 36.75, 61.709999084472656)","(-3.450000047683716, 36.900001525878906, 8.711999893188477)","(32.85000228881836, 50.85000228881836, 67.76000213623047)"
2,2022-12-11 15:37:59.765770,"(28.950000762939453, 39.150001525878906, 106.23799896240234)","(32.25, 36.900001525878906, 79.3759994506836)","(34.5, 108.75000762939453, 105.99600219726562)","(21.600000381469727, 44.10000228881836, 109.38400268554688)","(48.0, 36.900001525878906, 88.81400299072266)","(11.550000190734863, 36.150001525878906, 62.194000244140625)","(-4.050000190734863, 36.75, 8.711999893188477)","(31.650001525878906, 50.85000228881836, 67.51799774169922)"
3,2022-12-11 15:37:59.854600,"(31.200000762939453, 38.400001525878906, 107.69000244140625)","(31.350000381469727, 36.900001525878906, 78.40799713134766)","(34.5, 109.35000610351562, 104.05999755859375)","(22.80000114440918, 45.30000305175781, 110.35199737548828)","(48.60000228881836, 36.60000228881836, 89.05599975585938)","(11.25, 36.75, 62.91999816894531)","(-4.200000286102295, 36.60000228881836, 9.437999725341797)","(31.80000114440918, 51.150001525878906, 67.2760009765625)"
4,2022-12-11 15:37:59.944071,"(33.30000305175781, 37.80000305175781, 106.96399688720703)","(31.200000762939453, 37.05000305175781, 78.6500015258789)","(34.95000076293945, 107.25000762939453, 106.47999572753906)","(21.75, 45.60000228881836, 110.83599853515625)","(48.150001525878906, 37.05000305175781, 88.81400299072266)","(10.800000190734863, 36.30000305175781, 61.95199966430664)","(-3.750000238418579, 37.05000305175781, 8.227999687194824)","(31.950000762939453, 50.70000076293945, 67.51799774169922)"
5,2022-12-11 15:37:59.945151,"(30.450000762939453, 37.80000305175781, 105.75399780273438)","(31.80000114440918, 37.20000076293945, 78.89199829101562)","(32.85000228881836, 109.35000610351562, 105.75399780273438)","(22.350000381469727, 43.95000076293945, 110.11000061035156)","(48.45000076293945, 36.75, 89.05599975585938)","(10.800000190734863, 36.75, 61.46799850463867)","(-5.100000381469727, 35.55000305175781, 7.259999752044678)","(31.650001525878906, 51.150001525878906, 67.03399658203125)"
6,2022-12-11 15:38:00.034546,"(30.450000762939453, 38.25, 107.20600128173828)","(31.200000762939453, 39.0, 77.92399597167969)","(35.55000305175781, 109.35000610351562, 107.93199920654297)","(21.30000114440918, 45.45000076293945, 112.77200317382812)","(48.150001525878906, 36.45000076293945, 90.02400207519531)","(10.800000190734863, 36.75, 61.95199966430664)","(-4.050000190734863, 36.75, 8.227999687194824)","(31.950000762939453, 51.000003814697266, 66.79199981689453)"
7,2022-12-11 15:38:00.079772,"(31.650001525878906, 38.55000305175781, 106.23799896240234)","(33.0, 37.80000305175781, 80.10199737548828)","(33.60000228881836, 108.60000610351562, 107.69000244140625)","(22.650001525878906, 45.150001525878906, 113.25599670410156)","(47.70000076293945, 36.75, 89.05599975585938)","(10.65000057220459, 36.60000228881836, 61.46799850463867)","(-4.5, 36.75, 7.74399995803833)","(31.950000762939453, 51.30000305175781, 68.24400329589844)"
8,2022-12-11 15:38:00.169680,"(30.150001525878906, 38.55000305175781, 105.75399780273438)","(28.950000762939453, 37.95000076293945, 80.58599853515625)","(34.5, 109.05000305175781, 107.69000244140625)","(21.900001525878906, 45.0, 111.31999969482422)","(48.0, 36.30000305175781, 89.2979965209961)","(11.40000057220459, 36.45000076293945, 61.709999084472656)","(-4.050000190734863, 36.75, 8.227999687194824)","(32.400001525878906, 50.85000228881836, 67.2760009765625)"
9,2022-12-11 15:38:00.214535,"(32.70000076293945, 37.35000228881836, 106.96399688720703)","(31.200000762939453, 36.60000228881836, 79.86000061035156)","(35.10000228881836, 106.50000762939453, 108.9000015258789)","(22.950000762939453, 43.95000076293945, 109.38400268554688)","(48.0, 36.45000076293945, 89.05599975585938)","(11.100000381469727, 36.30000305175781, 61.46799850463867)","(-3.750000238418579, 36.60000228881836, 7.259999752044678)","(32.55000305175781, 51.000003814697266, 67.2760009765625)"
10,2022-12-11 15:38:00.304446,"(31.80000114440918, 38.400001525878906, 104.302001953125)","(32.10000228881836, 37.20000076293945, 82.27999877929688)","(34.95000076293945, 108.60000610351562, 106.23799896240234)","(21.150001525878906, 45.30000305175781, 110.35199737548828)","(48.30000305175781, 36.60000228881836, 89.54000091552734)","(10.950000762939453, 36.150001525878906, 61.709999084472656)","(-4.200000286102295, 36.150001525878906, 7.01800012588501)","(32.10000228881836, 50.85000228881836, 66.30799865722656)"
11,2022-12-11 15:38:00.349745,"(32.85000228881836, 38.85000228881836, 105.2699966430664)","(32.10000228881836, 37.650001525878906, 81.06999969482422)","(34.05000305175781, 108.45000457763672, 106.72200012207031)","(22.950000762939453, 43.05000305175781, 110.59400177001953)","(48.30000305175781, 37.20000076293945, 89.05599975585938)","(10.950000762939453, 36.45000076293945, 61.22599792480469)","(-3.450000047683716, 36.60000228881836, 8.953999519348145)","(32.25, 51.45000076293945, 67.03399658203125)"
12,2022-12-11 15:38:00.394645,"(31.05000114440918, 38.400001525878906, 107.93199920654297)","(31.500001907348633, 36.75, 79.3759994506836)","(33.0, 107.10000610351562, 107.93199920654297)","(21.75, 45.30000305175781, 109.38400268554688)","(48.45000076293945, 36.30000305175781, 89.05599975585938)","(11.100000381469727, 36.60000228881836, 62.194000244140625)","(-3.6000001430511475, 36.150001525878906, 7.986000061035156)","(32.400001525878906, 51.45000076293945, 67.2760009765625)"
13,2022-12-11 15:38:00.439583,"(31.500001907348633, 38.85000228881836, 106.23799896240234)","(32.55000305175781, 37.650001525878906, 79.3759994506836)","(34.05000305175781, 108.1500015258789, 108.17399597167969)","(21.75, 46.05000305175781, 111.56199645996094)","(48.30000305175781, 36.45000076293945, 89.78199768066406)","(11.850000381469727, 36.30000305175781, 61.22599792480469)","(-3.750000238418579, 36.75, 8.470000267028809)","(32.55000305175781, 51.45000076293945, 68.00199890136719)"
14,2022-12-11 15:38:00.529503,"(33.150001525878906, 39.75, 107.93199920654297)","(32.10000228881836, 37.20000076293945, 78.89199829101562)","(34.650001525878906, 107.25000762939453, 107.20600128173828)","(21.150001525878906, 44.55000305175781, 111.31999969482422)","(48.150001525878906, 36.45000076293945, 89.54000091552734)","(11.25, 36.75, 62.678001403808594)","(-4.050000190734863, 36.75, 8.470000267028809)","(32.10000228881836, 51.45000076293945, 67.03399658203125)"
15,2022-12-11 15:38:00.574529,"(31.650001525878906, 39.60000228881836, 107.93199920654297)","(32.85000228881836, 37.05000305175781, 80.10199737548828)","(33.30000305175781, 106.80000305175781, 109.14199829101562)","(22.650001525878906, 44.85000228881836, 111.80400085449219)","(48.60000228881836, 36.45000076293945, 89.54000091552734)","(11.25, 36.30000305175781, 61.95199966430664)","(-4.200000286102295, 35.85000228881836, 8.227999687194824)","(32.55000305175781, 51.60000228881836, 67.2760009765625)"
16,2022-12-11 15:38:00.664554,"(30.600000381469727, 37.95000076293945, 107.447998046875)","(30.600000381469727, 37.95000076293945, 79.86000061035156)","(36.0, 109.20000457763672, 107.69000244140625)","(22.200000762939453, 46.20000076293945, 111.31999969482422)","(48.30000305175781, 36.75, 89.2979965209961)","(11.550000190734863, 36.45000076293945, 61.46799850463867)","(-4.5, 37.20000076293945, 8.227999687194824)","(31.500001907348633, 51.30000305175781, 67.2760009765625)"
17,2022-12-11 15:38:00.709490,"(33.0, 39.30000305175781, 104.302001953125)","(30.900001525878906, 36.900001525878906, 79.86000061035156)","(34.20000076293945, 106.50000762939453, 109.86799621582031)","(21.30000114440918, 46.35000228881836, 110.59400177001953)","(48.150001525878906, 36.75, 89.05599975585938)","(11.100000381469727, 36.45000076293945, 61.95199966430664)","(-3.450000047683716, 37.20000076293945, 8.711999893188477)","(32.400001525878906, 51.30000305175781, 67.76000213623047)"
18,2022-12-11 15:38:00.754678,"(31.200000762939453, 41.10000228881836, 106.96399688720703)","(31.80000114440918, 37.05000305175781, 80.58599853515625)","(34.35000228881836, 108.30000305175781, 109.6259994506836)","(21.150001525878906, 44.55000305175781, 111.80400085449219)","(48.45000076293945, 36.900001525878906, 89.54000091552734)","(10.65000057220459, 36.60000228881836, 61.709999084472656)","(-4.200000286102295, 36.75, 7.01800012588501)","(33.0, 51.150001525878906, 66.79199981689453)"
19,2022-12-11 15:38:00.844516,"(32.55000305175781, 39.45000076293945, 104.302001953125)","(31.05000114440918, 37.80000305175781, 81.31199645996094)","(34.80000305175781, 108.1500015258789, 106.47999572753906)","(21.900001525878906, 43.650001525878906, 110.35199737548828)","(48.45000076293945, 36.900001525878906, 89.54000091552734)","(11.100000381469727, 36.30000305175781, 62.43600082397461)","(-4.200000286102295, 36.75, 8.953999519348145)","(32.55000305175781, 50.85000228881836, 67.2760009765625)"
20,2022-12-11 15:38:00.889517,"(30.600000381469727, 39.900001525878906, 105.2699966430664)","(32.25, 37.05000305175781, 79.61799621582031)","(35.25, 106.35000610351562, 108.41600036621094)","(20.700000762939453, 45.60000228881836, 111.56199645996094)","(48.30000305175781, 36.75, 89.54000091552734)","(11.550000190734863, 36.150001525878906, 61.95199966430664)","(-4.5, 36.75, 7.986000061035156)","(32.55000305175781, 51.000003814697266, 68.24400329589844)"
