,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 16:00:45.493324,"(129.60000610351562, 116.10000610351562, 73.32599639892578)","(63.30000305175781, 60.150001525878906, 77.92399597167969)","(67.95000457763672, 118.35000610351562, 113.25599670410156)","(91.20000457763672, 25.500001907348633, 116.15999603271484)","(45.900001525878906, 34.80000305175781, 90.50800323486328)","(7.350000381469727, 31.05000114440918, 61.46799850463867)","(-9.15000057220459, 33.30000305175781, 12.100000381469727)","(26.55000114440918, 49.35000228881836, 64.37200164794922)"
1,2022-12-11 16:00:45.538106,"(130.35000610351562, 115.20000457763672, 72.84200286865234)","(62.250003814697266, 61.05000305175781, 78.40799713134766)","(65.85000610351562, 119.10000610351562, 112.28800201416016)","(90.1500015258789, 23.100000381469727, 116.4020004272461)","(45.75, 34.35000228881836, 90.26599884033203)","(7.800000190734863, 31.350000381469727, 61.46799850463867)","(-8.40000057220459, 33.0, 11.616000175476074)","(26.400001525878906, 49.500003814697266, 64.37200164794922)"
2,2022-12-11 16:00:45.583044,"(131.25, 114.1500015258789, 74.052001953125)","(62.70000076293945, 63.30000305175781, 79.13400268554688)","(66.9000015258789, 117.00000762939453, 112.28800201416016)","(90.1500015258789, 24.150001525878906, 116.4020004272461)","(46.35000228881836, 34.650001525878906, 91.47599792480469)","(7.350000381469727, 31.200000762939453, 61.95199966430664)","(-8.25, 32.55000305175781, 12.342000007629395)","(26.100000381469727, 49.500003814697266, 63.645999908447266)"
3,2022-12-11 16:00:45.672929,"(128.85000610351562, 112.50000762939453, 73.32599639892578)","(61.95000076293945, 61.80000305175781, 79.61799621582031)","(65.25, 118.35000610351562, 112.77200317382812)","(89.85000610351562, 24.150001525878906, 115.43399810791016)","(46.20000076293945, 34.20000076293945, 90.75)","(8.100000381469727, 31.500001907348633, 61.95199966430664)","(-7.800000190734863, 33.900001525878906, 10.64799976348877)","(26.250001907348633, 49.500003814697266, 63.645999908447266)"
4,2022-12-11 16:00:45.718585,"(129.0, 112.95000457763672, 72.5999984741211)","(62.85000228881836, 61.95000076293945, 79.13400268554688)","(65.85000610351562, 114.75000762939453, 111.80400085449219)","(91.05000305175781, 24.0, 116.15999603271484)","(46.20000076293945, 34.650001525878906, 90.99199676513672)","(8.100000381469727, 31.05000114440918, 60.98400115966797)","(-8.550000190734863, 33.60000228881836, 12.583999633789062)","(27.000001907348633, 50.250003814697266, 63.645999908447266)"
5,2022-12-11 16:00:45.762907,"(130.35000610351562, 114.9000015258789, 71.14800262451172)","(63.900001525878906, 60.900001525878906, 78.89199829101562)","(67.20000457763672, 116.4000015258789, 110.59400177001953)","(91.35000610351562, 23.55000114440918, 116.4020004272461)","(46.05000305175781, 34.20000076293945, 91.71800231933594)","(7.350000381469727, 31.200000762939453, 61.46799850463867)","(-8.25, 33.45000076293945, 11.857999801635742)","(26.250001907348633, 49.500003814697266, 63.88800048828125)"
6,2022-12-11 16:00:45.853141,"(127.35000610351562, 115.95000457763672, 75.0199966430664)","(62.250003814697266, 61.20000076293945, 77.197998046875)","(66.0, 116.25000762939453, 113.01399993896484)","(89.4000015258789, 25.05000114440918, 117.85399627685547)","(46.05000305175781, 34.650001525878906, 90.99199676513672)","(8.100000381469727, 31.05000114440918, 60.98400115966797)","(-9.0, 33.60000228881836, 11.857999801635742)","(26.400001525878906, 49.500003814697266, 64.12999725341797)"
7,2022-12-11 16:00:45.897885,"(130.20001220703125, 114.00000762939453, 74.29399871826172)","(62.250003814697266, 61.35000228881836, 77.44000244140625)","(66.1500015258789, 115.95000457763672, 113.73999786376953)","(90.45000457763672, 24.30000114440918, 116.4020004272461)","(46.20000076293945, 34.35000228881836, 90.99199676513672)","(7.500000476837158, 30.900001525878906, 60.742000579833984)","(-7.800000190734863, 33.150001525878906, 12.583999633789062)","(26.250001907348633, 49.35000228881836, 64.37200164794922)"
8,2022-12-11 16:00:45.988084,"(127.95000457763672, 114.75000762939453, 73.08399963378906)","(61.35000228881836, 62.400001525878906, 80.58599853515625)","(66.60000610351562, 116.85000610351562, 112.0459976196289)","(90.75, 23.700000762939453, 114.70800018310547)","(46.35000228881836, 34.35000228881836, 91.47599792480469)","(7.350000381469727, 31.05000114440918, 60.5)","(-7.650000095367432, 33.45000076293945, 11.857999801635742)","(26.250001907348633, 48.900001525878906, 64.12999725341797)"
9,2022-12-11 16:00:46.032959,"(129.60000610351562, 115.05000305175781, 75.0199966430664)","(62.250003814697266, 60.60000228881836, 77.68199920654297)","(66.1500015258789, 116.85000610351562, 113.25599670410156)","(90.75, 24.30000114440918, 116.15999603271484)","(46.05000305175781, 34.5, 90.99199676513672)","(8.25, 31.350000381469727, 61.95199966430664)","(-8.850000381469727, 33.150001525878906, 12.583999633789062)","(26.100000381469727, 49.35000228881836, 64.12999725341797)"
10,2022-12-11 16:00:46.077965,"(130.0500030517578, 115.95000457763672, 77.197998046875)","(61.95000076293945, 61.95000076293945, 79.13400268554688)","(65.85000610351562, 116.85000610351562, 110.59400177001953)","(91.35000610351562, 25.80000114440918, 118.58000183105469)","(46.650001525878906, 34.5, 90.50800323486328)","(7.650000095367432, 31.650001525878906, 61.95199966430664)","(-8.25, 32.400001525878906, 13.067999839782715)","(26.700000762939453, 49.05000305175781, 63.645999908447266)"
11,2022-12-11 16:00:46.168586,"(130.35000610351562, 112.95000457763672, 73.32599639892578)","(63.30000305175781, 61.500003814697266, 78.40799713134766)","(66.1500015258789, 116.85000610351562, 113.01399993896484)","(91.05000305175781, 24.600000381469727, 117.37000274658203)","(46.5, 34.35000228881836, 90.99199676513672)","(7.650000095367432, 30.900001525878906, 61.709999084472656)","(-7.200000286102295, 33.150001525878906, 11.857999801635742)","(26.55000114440918, 49.80000305175781, 64.12999725341797)"
12,2022-12-11 16:00:46.213030,"(130.0500030517578, 115.6500015258789, 75.0199966430664)","(61.95000076293945, 59.70000076293945, 79.86000061035156)","(66.0, 117.30000305175781, 112.0459976196289)","(92.25, 23.25, 118.09600067138672)","(46.35000228881836, 34.650001525878906, 90.75)","(7.950000286102295, 31.350000381469727, 60.98400115966797)","(-7.950000286102295, 32.55000305175781, 11.857999801635742)","(26.55000114440918, 49.500003814697266, 65.33999633789062)"
