,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 15:58:49.483183,"(11.700000762939453, 140.25, 117.85399627685547)","(18.30000114440918, 63.900001525878906, 86.87799835205078)","(39.150001525878906, 138.60000610351562, 104.54399871826172)","(101.25000762939453, 69.9000015258789, 61.95199966430664)","(42.75, 44.10000228881836, 89.05599975585938)","(4.650000095367432, 58.35000228881836, 66.55000305175781)","(-7.050000190734863, 54.30000305175781, 15.246000289916992)","(41.85000228881836, 63.900001525878906, 91.47599792480469)"
1,2022-12-11 15:58:49.528426,"(13.65000057220459, 136.95001220703125, 124.62999725341797)","(17.25, 63.750003814697266, 89.05599975585938)","(42.75, 137.70001220703125, 107.93199920654297)","(100.50000762939453, 71.70000457763672, 64.37200164794922)","(44.10000228881836, 44.400001525878906, 88.5719985961914)","(6.600000381469727, 58.650001525878906, 66.06600189208984)","(-6.150000095367432, 54.150001525878906, 15.003999710083008)","(43.650001525878906, 64.05000305175781, 90.50800323486328)"
2,2022-12-11 15:58:49.618234,"(15.600000381469727, 135.0, 121.24199676513672)","(19.5, 64.05000305175781, 86.39399719238281)","(41.400001525878906, 138.90000915527344, 107.93199920654297)","(102.00000762939453, 72.9000015258789, 66.06600189208984)","(45.150001525878906, 44.10000228881836, 88.5719985961914)","(6.450000286102295, 58.500003814697266, 66.30799865722656)","(-4.650000095367432, 54.900001525878906, 14.519999504089355)","(44.10000228881836, 64.05000305175781, 90.50800323486328)"
3,2022-12-11 15:58:49.662587,"(12.15000057220459, 133.8000030517578, 122.20999908447266)","(18.75, 62.55000305175781, 88.33000183105469)","(42.900001525878906, 139.0500030517578, 106.96399688720703)","(101.85000610351562, 72.75, 64.12999725341797)","(45.0, 44.400001525878906, 88.81400299072266)","(8.25, 59.10000228881836, 66.79199981689453)","(-3.450000047683716, 55.05000305175781, 13.309999465942383)","(45.900001525878906, 64.05000305175781, 90.99199676513672)"
4,2022-12-11 15:58:49.708261,"(10.65000057220459, 138.0, 123.41999816894531)","(18.900001525878906, 63.000003814697266, 89.2979965209961)","(42.30000305175781, 139.0500030517578, 106.96399688720703)","(102.60000610351562, 73.20000457763672, 65.58200073242188)","(45.30000305175781, 44.55000305175781, 89.54000091552734)","(8.550000190734863, 59.10000228881836, 66.06600189208984)","(-2.1000001430511475, 54.750003814697266, 15.246000289916992)","(45.75, 63.150001525878906, 90.75)"
5,2022-12-11 15:58:49.798038,"(11.100000381469727, 135.15000915527344, 125.5979995727539)","(20.55000114440918, 63.750003814697266, 90.75)","(43.35000228881836, 141.0, 106.23799896240234)","(102.75000762939453, 74.25, 64.61399841308594)","(45.900001525878906, 44.55000305175781, 88.33000183105469)","(8.700000762939453, 58.95000076293945, 66.06600189208984)","(-2.1000001430511475, 55.35000228881836, 14.519999504089355)","(46.95000076293945, 63.60000228881836, 90.99199676513672)"
6,2022-12-11 15:58:49.843124,"(10.950000762939453, 136.35000610351562, 122.45199584960938)","(19.5, 62.85000228881836, 88.81400299072266)","(43.05000305175781, 140.25, 107.93199920654297)","(103.05000305175781, 74.25, 62.91999816894531)","(46.05000305175781, 44.400001525878906, 88.81400299072266)","(9.90000057220459, 59.55000305175781, 66.30799865722656)","(-0.75, 54.45000076293945, 15.729999542236328)","(46.95000076293945, 63.30000305175781, 91.47599792480469)"
7,2022-12-11 15:58:49.888091,"(10.950000762939453, 134.5500030517578, 125.11399841308594)","(20.100000381469727, 64.20000457763672, 88.5719985961914)","(43.35000228881836, 140.40000915527344, 107.69000244140625)","(103.80000305175781, 73.95000457763672, 64.85600280761719)","(46.05000305175781, 44.55000305175781, 89.54000091552734)","(9.75, 58.95000076293945, 67.2760009765625)","(-0.75, 55.650001525878906, 15.729999542236328)","(47.25, 63.750003814697266, 92.44400024414062)"
8,2022-12-11 15:58:49.978005,"(10.5, 134.5500030517578, 124.87200164794922)","(21.0, 64.05000305175781, 89.78199768066406)","(43.35000228881836, 139.95001220703125, 108.41600036621094)","(104.70000457763672, 74.85000610351562, 65.33999633789062)","(46.650001525878906, 44.55000305175781, 89.2979965209961)","(9.90000057220459, 58.95000076293945, 67.51799774169922)","(0.0, 54.750003814697266, 16.45599937438965)","(48.0, 63.150001525878906, 91.71800231933594)"
9,2022-12-11 15:58:50.023090,"(11.700000762939453, 135.75, 125.83999633789062)","(21.75, 63.750003814697266, 89.05599975585938)","(43.650001525878906, 139.65000915527344, 107.93199920654297)","(105.60000610351562, 74.4000015258789, 65.33999633789062)","(46.650001525878906, 43.80000305175781, 89.2979965209961)","(10.950000762939453, 59.400001525878906, 68.00199890136719)","(0.75, 55.05000305175781, 16.214000701904297)","(48.30000305175781, 63.750003814697266, 92.68599700927734)"
