,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 15:28:16.211861,"(45.75, 77.25, 65.8239974975586)","(36.60000228881836, 57.30000305175781, 64.85600280761719)","(47.70000076293945, 123.00000762939453, 92.20199584960938)","(52.35000228881836, 48.150001525878906, 75.74600219726562)","(41.85000228881836, 45.45000076293945, 96.55799865722656)","(-6.150000095367432, 58.500003814697266, 86.63600158691406)","(-4.800000190734863, 53.10000228881836, 26.86199951171875)","(43.650001525878906, 58.35000228881836, 101.63999938964844)"
1,2022-12-11 15:28:16.256356,"(46.80000305175781, 79.80000305175781, 65.0979995727539)","(36.45000076293945, 58.05000305175781, 65.33999633789062)","(47.85000228881836, 122.85000610351562, 93.16999816894531)","(51.000003814697266, 48.150001525878906, 74.53600311279297)","(41.55000305175781, 45.60000228881836, 96.55799865722656)","(-6.150000095367432, 58.80000305175781, 87.36199951171875)","(-4.950000286102295, 53.400001525878906, 27.58799934387207)","(44.10000228881836, 59.10000228881836, 101.15599822998047)"
2,2022-12-11 15:28:16.301475,"(47.25, 77.70000457763672, 62.91999816894531)","(37.80000305175781, 58.05000305175781, 64.12999725341797)","(47.85000228881836, 121.95000457763672, 93.16999816894531)","(53.400001525878906, 46.95000076293945, 72.5999984741211)","(41.70000076293945, 45.150001525878906, 96.55799865722656)","(-6.0, 58.95000076293945, 87.12000274658203)","(-4.950000286102295, 52.80000305175781, 27.829999923706055)","(44.10000228881836, 58.95000076293945, 101.88199615478516)"
3,2022-12-11 15:28:16.346151,"(47.10000228881836, 77.70000457763672, 64.12999725341797)","(36.75, 56.85000228881836, 65.33999633789062)","(47.400001525878906, 122.4000015258789, 91.23400115966797)","(51.900001525878906, 46.20000076293945, 75.98799896240234)","(41.85000228881836, 45.60000228881836, 97.04199981689453)","(-5.850000381469727, 58.95000076293945, 87.12000274658203)","(-4.650000095367432, 54.000003814697266, 27.104000091552734)","(44.400001525878906, 59.10000228881836, 101.39800262451172)"
4,2022-12-11 15:28:16.525656,"(47.25, 77.70000457763672, 62.91999816894531)","(36.0, 57.30000305175781, 63.645999908447266)","(48.900001525878906, 123.60000610351562, 92.20199584960938)","(52.05000305175781, 46.80000305175781, 76.71399688720703)","(42.150001525878906, 45.30000305175781, 95.83200073242188)","(-5.700000286102295, 58.20000076293945, 87.12000274658203)","(-4.5, 53.55000305175781, 27.104000091552734)","(45.0, 58.650001525878906, 100.91400146484375)"
5,2022-12-11 15:28:16.616583,"(43.95000076293945, 78.45000457763672, 64.61399841308594)","(38.55000305175781, 57.000003814697266, 65.58200073242188)","(48.30000305175781, 123.30000305175781, 92.20199584960938)","(52.80000305175781, 47.25, 74.77799987792969)","(41.70000076293945, 45.45000076293945, 96.55799865722656)","(-5.25, 58.650001525878906, 86.87799835205078)","(-3.750000238418579, 53.70000076293945, 26.13599967956543)","(44.400001525878906, 58.650001525878906, 101.63999938964844)"
6,2022-12-11 15:28:16.617615,"(48.0, 77.55000305175781, 62.91999816894531)","(37.35000228881836, 57.000003814697266, 63.88800048828125)","(47.55000305175781, 122.55000305175781, 93.41200256347656)","(50.70000076293945, 48.150001525878906, 75.26200103759766)","(41.85000228881836, 45.60000228881836, 97.5260009765625)","(-5.700000286102295, 58.650001525878906, 86.87799835205078)","(-4.200000286102295, 53.70000076293945, 26.378000259399414)","(44.70000076293945, 58.20000076293945, 101.63999938964844)"
7,2022-12-11 15:28:16.931354,"(46.650001525878906, 78.0, 64.37200164794922)","(38.10000228881836, 58.20000076293945, 64.85600280761719)","(48.30000305175781, 123.1500015258789, 95.3479995727539)","(51.30000305175781, 48.750003814697266, 76.71399688720703)","(41.85000228881836, 45.900001525878906, 96.80000305175781)","(-5.25, 58.35000228881836, 86.63600158691406)","(-4.5, 53.55000305175781, 27.104000091552734)","(44.85000228881836, 58.95000076293945, 101.88199615478516)"
8,2022-12-11 15:28:16.932497,"(47.85000228881836, 80.4000015258789, 63.645999908447266)","(36.900001525878906, 56.70000076293945, 65.33999633789062)","(48.30000305175781, 122.4000015258789, 91.95999908447266)","(52.20000076293945, 48.0, 75.74600219726562)","(42.45000076293945, 45.150001525878906, 96.31600189208984)","(-5.550000190734863, 58.80000305175781, 87.12000274658203)","(-3.9000000953674316, 52.95000076293945, 26.13599967956543)","(44.55000305175781, 58.35000228881836, 101.88199615478516)"
9,2022-12-11 15:28:16.976303,"(45.900001525878906, 76.95000457763672, 67.03399658203125)","(35.70000076293945, 57.150001525878906, 65.8239974975586)","(48.900001525878906, 123.9000015258789, 96.31600189208984)","(52.35000228881836, 47.10000228881836, 75.26200103759766)","(42.150001525878906, 45.45000076293945, 96.80000305175781)","(-6.0, 58.35000228881836, 86.39399719238281)","(-3.9000000953674316, 52.95000076293945, 26.86199951171875)","(44.10000228881836, 58.05000305175781, 100.6719970703125)"
