,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 15:48:58.359082,"(58.500003814697266, 72.1500015258789, 53.23999786376953)","(44.85000228881836, 55.20000076293945, 58.07999801635742)","(55.35000228881836, 117.75000762939453, 87.12000274658203)","(54.900001525878906, 36.0, 73.08399963378906)","(54.45000076293945, 44.55000305175781, 101.88199615478516)","(23.850000381469727, 51.150001525878906, 103.57599639892578)","(14.40000057220459, 44.400001525878906, 32.9119987487793)","(48.60000228881836, 38.85000228881836, 100.91400146484375)"
1,2022-12-11 15:48:58.449268,"(55.95000076293945, 71.4000015258789, 52.27199935913086)","(45.900001525878906, 54.900001525878906, 58.07999801635742)","(54.150001525878906, 118.95000457763672, 88.81400299072266)","(54.150001525878906, 36.30000305175781, 70.90599822998047)","(54.60000228881836, 44.70000076293945, 102.60800170898438)","(24.30000114440918, 51.30000305175781, 103.81800079345703)","(14.850000381469727, 45.0, 32.9119987487793)","(49.05000305175781, 38.85000228881836, 100.91400146484375)"
2,2022-12-11 15:48:58.493761,"(55.650001525878906, 70.6500015258789, 56.62799835205078)","(45.150001525878906, 55.95000076293945, 59.53200149536133)","(53.85000228881836, 117.9000015258789, 88.08799743652344)","(52.500003814697266, 36.30000305175781, 71.38999938964844)","(55.05000305175781, 44.55000305175781, 102.60800170898438)","(24.30000114440918, 52.20000076293945, 104.54399871826172)","(15.600000381469727, 44.55000305175781, 33.880001068115234)","(49.20000076293945, 38.85000228881836, 101.15599822998047)"
3,2022-12-11 15:48:58.583876,"(55.500003814697266, 73.5, 53.7239990234375)","(44.25, 55.80000305175781, 58.321998596191406)","(54.150001525878906, 119.25000762939453, 89.05599975585938)","(54.000003814697266, 36.45000076293945, 70.66400146484375)","(54.45000076293945, 44.70000076293945, 102.8499984741211)","(24.150001525878906, 51.60000228881836, 104.54399871826172)","(14.850000381469727, 45.60000228881836, 32.428001403808594)","(49.650001525878906, 38.70000076293945, 100.91400146484375)"
4,2022-12-11 15:48:58.629207,"(55.35000228881836, 70.20000457763672, 52.27199935913086)","(44.85000228881836, 55.95000076293945, 59.290000915527344)","(53.70000076293945, 118.95000457763672, 88.08799743652344)","(53.85000228881836, 37.650001525878906, 71.8740005493164)","(54.60000228881836, 45.150001525878906, 103.57599639892578)","(23.700000762939453, 51.900001525878906, 103.81800079345703)","(15.15000057220459, 45.150001525878906, 33.880001068115234)","(49.05000305175781, 39.60000228881836, 102.60800170898438)"
5,2022-12-11 15:48:58.673714,"(55.650001525878906, 72.30000305175781, 54.20800018310547)","(46.20000076293945, 55.80000305175781, 58.321998596191406)","(54.60000228881836, 119.25000762939453, 89.78199768066406)","(54.60000228881836, 36.45000076293945, 72.5999984741211)","(54.60000228881836, 44.70000076293945, 102.36599731445312)","(23.25, 52.05000305175781, 104.78600311279297)","(15.15000057220459, 45.45000076293945, 33.63800048828125)","(49.05000305175781, 39.900001525878906, 102.36599731445312)"
6,2022-12-11 15:48:58.763937,"(54.60000228881836, 73.80000305175781, 55.902000427246094)","(46.35000228881836, 55.500003814697266, 60.01599884033203)","(54.30000305175781, 120.1500015258789, 88.5719985961914)","(54.900001525878906, 37.650001525878906, 69.93799591064453)","(54.45000076293945, 45.30000305175781, 103.09200286865234)","(22.80000114440918, 51.900001525878906, 103.81800079345703)","(15.450000762939453, 45.900001525878906, 33.395999908447266)","(49.05000305175781, 40.5, 102.60800170898438)"
7,2022-12-11 15:48:58.808705,"(56.250003814697266, 73.05000305175781, 54.69200134277344)","(45.60000228881836, 55.95000076293945, 58.805999755859375)","(52.80000305175781, 118.50000762939453, 88.5719985961914)","(55.35000228881836, 35.70000076293945, 72.11599731445312)","(54.150001525878906, 44.70000076293945, 103.33399963378906)","(23.400001525878906, 52.05000305175781, 104.302001953125)","(15.000000953674316, 45.150001525878906, 32.66999816894531)","(50.10000228881836, 40.5, 101.88199615478516)"
8,2022-12-11 15:48:58.853754,"(58.35000228881836, 73.35000610351562, 54.20800018310547)","(45.900001525878906, 56.70000076293945, 60.01599884033203)","(53.10000228881836, 119.4000015258789, 88.81400299072266)","(55.80000305175781, 37.20000076293945, 70.66400146484375)","(53.85000228881836, 45.45000076293945, 103.09200286865234)","(23.100000381469727, 51.900001525878906, 104.302001953125)","(15.15000057220459, 44.85000228881836, 34.36399841308594)","(49.35000228881836, 40.20000076293945, 102.60800170898438)"
9,2022-12-11 15:48:58.943651,"(55.20000076293945, 72.75, 54.933998107910156)","(46.05000305175781, 56.10000228881836, 57.59600067138672)","(53.55000305175781, 120.30000305175781, 91.47599792480469)","(54.900001525878906, 37.95000076293945, 70.4219970703125)","(54.60000228881836, 45.0, 102.8499984741211)","(22.650001525878906, 52.500003814697266, 104.302001953125)","(15.300000190734863, 46.05000305175781, 32.9119987487793)","(49.35000228881836, 39.900001525878906, 102.36599731445312)"
10,2022-12-11 15:48:58.988716,"(55.05000305175781, 73.35000610351562, 52.99800109863281)","(45.75, 55.20000076293945, 60.5)","(53.250003814697266, 119.70000457763672, 90.99199676513672)","(55.500003814697266, 37.35000228881836, 69.4540023803711)","(55.20000076293945, 45.30000305175781, 103.33399963378906)","(23.700000762939453, 52.35000228881836, 105.2699966430664)","(15.15000057220459, 44.70000076293945, 32.66999816894531)","(50.250003814697266, 39.75, 101.63999938964844)"
