,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 16:01:19.378375,"(7.200000286102295, 5.25, 77.92399597167969)","(24.900001525878906, 31.650001525878906, 61.709999084472656)","(26.700000762939453, 102.75000762939453, 87.60399627685547)","(-25.350000381469727, 27.150001525878906, 99.94599914550781)","(64.05000305175781, 52.500003814697266, 103.33399963378906)","(47.70000076293945, 74.55000305175781, 117.61199951171875)","(38.25, 53.55000305175781, 31.944000244140625)","(85.20000457763672, 34.80000305175781, 105.99600219726562)"
1,2022-12-11 16:01:19.468546,"(5.550000190734863, 5.700000286102295, 76.47200012207031)","(26.250001907348633, 32.400001525878906, 57.11199951171875)","(27.150001525878906, 99.30000305175781, 90.26599884033203)","(-25.200000762939453, 27.30000114440918, 101.15599822998047)","(63.45000076293945, 52.20000076293945, 102.1240005493164)","(48.30000305175781, 74.25, 116.64399719238281)","(38.70000076293945, 53.10000228881836, 32.18600082397461)","(84.45000457763672, 34.20000076293945, 106.47999572753906)"
2,2022-12-11 16:01:19.512996,"(7.050000190734863, 3.450000047683716, 81.31199645996094)","(24.150001525878906, 30.450000762939453, 59.04800033569336)","(27.600000381469727, 99.9000015258789, 88.5719985961914)","(-26.400001525878906, 26.55000114440918, 104.302001953125)","(63.750003814697266, 52.500003814697266, 102.60800170898438)","(48.150001525878906, 74.70000457763672, 117.12799835205078)","(39.45000076293945, 53.250003814697266, 30.97599983215332)","(84.60000610351562, 34.20000076293945, 106.47999572753906)"
3,2022-12-11 16:01:19.603010,"(6.0, 5.100000381469727, 78.6500015258789)","(26.250001907348633, 30.750001907348633, 57.354000091552734)","(27.750001907348633, 100.6500015258789, 88.08799743652344)","(-25.350000381469727, 25.350000381469727, 102.1240005493164)","(63.900001525878906, 52.20000076293945, 102.8499984741211)","(48.60000228881836, 74.55000305175781, 116.4020004272461)","(38.70000076293945, 53.400001525878906, 31.459999084472656)","(85.20000457763672, 34.5, 105.75399780273438)"
4,2022-12-11 16:01:19.648377,"(7.500000476837158, 5.400000095367432, 75.98799896240234)","(24.750001907348633, 32.55000305175781, 61.95199966430664)","(26.400001525878906, 100.35000610351562, 87.84600067138672)","(-25.05000114440918, 25.950000762939453, 102.60800170898438)","(63.60000228881836, 52.500003814697266, 102.60800170898438)","(48.45000076293945, 74.10000610351562, 117.37000274658203)","(37.5, 53.55000305175781, 30.733999252319336)","(84.60000610351562, 34.20000076293945, 106.72200012207031)"
5,2022-12-11 16:01:19.692867,"(7.500000476837158, 5.550000190734863, 77.44000244140625)","(24.600000381469727, 31.200000762939453, 59.77399826049805)","(27.450000762939453, 100.35000610351562, 87.36199951171875)","(-25.05000114440918, 26.700000762939453, 102.8499984741211)","(63.750003814697266, 52.05000305175781, 102.36599731445312)","(49.05000305175781, 74.55000305175781, 117.61199951171875)","(37.95000076293945, 52.80000305175781, 32.18600082397461)","(85.6500015258789, 34.650001525878906, 107.20600128173828)"
6,2022-12-11 16:01:19.782759,"(5.850000381469727, 4.650000095367432, 79.61799621582031)","(25.80000114440918, 30.450000762939453, 59.04800033569336)","(28.05000114440918, 100.95000457763672, 87.12000274658203)","(-25.950000762939453, 27.900001525878906, 101.39800262451172)","(63.60000228881836, 52.05000305175781, 103.09200286865234)","(48.45000076293945, 74.4000015258789, 117.61199951171875)","(38.25, 54.150001525878906, 31.944000244140625)","(84.45000457763672, 34.5, 105.99600219726562)"
7,2022-12-11 16:01:19.827869,"(6.0, 5.700000286102295, 77.44000244140625)","(25.05000114440918, 30.30000114440918, 58.07999801635742)","(28.950000762939453, 99.60000610351562, 88.08799743652344)","(-25.350000381469727, 27.750001907348633, 99.7040023803711)","(63.750003814697266, 51.750003814697266, 102.36599731445312)","(49.20000076293945, 74.70000457763672, 116.88600158691406)","(38.400001525878906, 53.85000228881836, 31.70199966430664)","(85.05000305175781, 34.05000305175781, 106.23799896240234)"
8,2022-12-11 16:01:19.873028,"(6.750000476837158, 6.300000190734863, 78.40799713134766)","(24.450000762939453, 29.400001525878906, 57.8380012512207)","(26.55000114440918, 101.10000610351562, 87.60399627685547)","(-25.500001907348633, 27.750001907348633, 101.39800262451172)","(63.45000076293945, 52.05000305175781, 102.60800170898438)","(48.0, 74.85000610351562, 116.64399719238281)","(38.25, 53.10000228881836, 30.733999252319336)","(85.35000610351562, 34.650001525878906, 106.47999572753906)"
9,2022-12-11 16:01:19.962981,"(4.650000095367432, 6.450000286102295, 77.92399597167969)","(25.500001907348633, 31.200000762939453, 57.8380012512207)","(26.55000114440918, 100.20000457763672, 88.81400299072266)","(-24.900001525878906, 26.700000762939453, 101.63999938964844)","(63.60000228881836, 52.500003814697266, 103.09200286865234)","(47.85000228881836, 74.70000457763672, 116.4020004272461)","(39.150001525878906, 53.10000228881836, 30.733999252319336)","(84.75, 34.5, 106.72200012207031)"
