,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 15:59:27.418299,"(-0.30000001192092896, -28.950000762939453, 136.00399780273438)","(18.150001525878906, 13.950000762939453, 78.6500015258789)","(9.90000057220459, 89.85000610351562, 108.17399597167969)","(-43.05000305175781, 48.0, 145.6840057373047)","(63.45000076293945, 46.650001525878906, 98.97799682617188)","(54.45000076293945, 63.45000076293945, 106.23799896240234)","(29.400001525878906, 43.05000305175781, 18.634000778198242)","(74.4000015258789, 36.150001525878906, 83.9739990234375)"
1,2022-12-11 15:59:27.463578,"(-3.0, -29.250001907348633, 136.72999572753906)","(18.30000114440918, 13.350000381469727, 78.6500015258789)","(8.850000381469727, 88.95000457763672, 107.447998046875)","(-45.0, 47.25, 146.65199279785156)","(63.30000305175781, 47.400001525878906, 97.76799774169922)","(54.150001525878906, 63.000003814697266, 106.23799896240234)","(30.450000762939453, 43.05000305175781, 17.423999786376953)","(75.30000305175781, 36.60000228881836, 84.21599578857422)"
2,2022-12-11 15:59:27.507255,"(-1.6500000953674316, -30.30000114440918, 136.00399780273438)","(14.250000953674316, 15.15000057220459, 76.95600128173828)","(9.90000057220459, 89.25, 108.65799713134766)","(-42.0, 47.10000228881836, 147.6199951171875)","(63.30000305175781, 47.10000228881836, 97.76799774169922)","(54.000003814697266, 63.30000305175781, 106.47999572753906)","(30.000001907348633, 43.95000076293945, 16.214000701904297)","(74.55000305175781, 36.30000305175781, 83.24800109863281)"
3,2022-12-11 15:59:27.598088,"(-3.0, -29.850000381469727, 137.45599365234375)","(16.200000762939453, 13.050000190734863, 78.40799713134766)","(7.650000095367432, 89.10000610351562, 108.65799713134766)","(-42.45000076293945, 48.60000228881836, 146.65199279785156)","(63.45000076293945, 46.95000076293945, 98.4939956665039)","(54.000003814697266, 63.750003814697266, 105.99600219726562)","(29.100000381469727, 44.25, 17.423999786376953)","(74.55000305175781, 36.60000228881836, 83.9739990234375)"
4,2022-12-11 15:59:27.643233,"(0.30000001192092896, -27.600000381469727, 134.79400634765625)","(16.950000762939453, 15.450000762939453, 78.16600036621094)","(10.200000762939453, 88.95000457763672, 108.41600036621094)","(-42.45000076293945, 47.70000076293945, 146.16799926757812)","(63.45000076293945, 47.25, 98.25199890136719)","(54.60000228881836, 63.150001525878906, 105.75399780273438)","(29.850000381469727, 43.20000076293945, 17.90799903869629)","(74.70000457763672, 35.85000228881836, 83.00599670410156)"
5,2022-12-11 15:59:27.732902,"(-1.350000023841858, -29.55000114440918, 137.21400451660156)","(17.55000114440918, 12.90000057220459, 77.44000244140625)","(9.450000762939453, 89.10000610351562, 109.86799621582031)","(-42.45000076293945, 46.650001525878906, 146.16799926757812)","(63.900001525878906, 46.95000076293945, 97.5260009765625)","(54.000003814697266, 63.60000228881836, 106.47999572753906)","(29.700000762939453, 43.5, 18.149999618530273)","(74.55000305175781, 36.30000305175781, 83.48999786376953)"
6,2022-12-11 15:59:27.777871,"(0.45000001788139343, -28.950000762939453, 136.24600219726562)","(18.30000114440918, 14.250000953674316, 79.13400268554688)","(8.40000057220459, 90.1500015258789, 109.38400268554688)","(-41.85000228881836, 47.85000228881836, 144.71600341796875)","(63.60000228881836, 46.80000305175781, 97.76799774169922)","(54.30000305175781, 63.30000305175781, 105.99600219726562)","(29.850000381469727, 43.35000228881836, 16.45599937438965)","(75.0, 36.45000076293945, 83.48999786376953)"
7,2022-12-11 15:59:27.823006,"(-1.6500000953674316, -27.750001907348633, 135.52000427246094)","(16.650001525878906, 14.700000762939453, 78.6500015258789)","(9.450000762939453, 90.9000015258789, 107.93199920654297)","(-40.95000076293945, 48.150001525878906, 146.65199279785156)","(64.05000305175781, 47.10000228881836, 97.76799774169922)","(55.05000305175781, 63.60000228881836, 105.2699966430664)","(29.55000114440918, 43.05000305175781, 16.697999954223633)","(74.4000015258789, 35.85000228881836, 83.24800109863281)"
8,2022-12-11 15:59:27.912922,"(-2.700000047683716, -26.400001525878906, 137.21400451660156)","(16.350000381469727, 16.350000381469727, 79.61799621582031)","(9.15000057220459, 89.70000457763672, 111.31999969482422)","(-40.95000076293945, 48.750003814697266, 145.92599487304688)","(63.30000305175781, 46.95000076293945, 97.76799774169922)","(55.05000305175781, 62.85000228881836, 105.75399780273438)","(29.400001525878906, 43.650001525878906, 17.18199920654297)","(75.0, 36.30000305175781, 83.48999786376953)"
9,2022-12-11 15:59:27.958110,"(-2.1000001430511475, -27.750001907348633, 136.9720001220703)","(15.600000381469727, 15.15000057220459, 80.58599853515625)","(9.600000381469727, 90.30000305175781, 108.17399597167969)","(-40.35000228881836, 46.80000305175781, 146.16799926757812)","(63.45000076293945, 46.95000076293945, 98.01000213623047)","(55.05000305175781, 63.000003814697266, 105.02799987792969)","(28.950000762939453, 42.75, 17.423999786376953)","(73.6500015258789, 36.45000076293945, 83.73200225830078)"
