,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:54:05.265735,"(35.55000305175781, 50.85000228881836, 83.9739990234375)","(33.75, 41.70000076293945, 69.93799591064453)","(38.85000228881836, 111.30000305175781, 94.86399841308594)","(32.10000228881836, 41.70000076293945, 91.23400115966797)","(43.650001525878906, 39.45000076293945, 93.89599609375)","(9.90000057220459, 45.60000228881836, 82.76399993896484)","(-8.100000381469727, 40.20000076293945, 20.56999969482422)","(34.20000076293945, 46.35000228881836, 85.66799926757812)"
1,2022-12-11 17:54:05.310492,"(37.05000305175781, 49.80000305175781, 85.4260025024414)","(32.25, 41.10000228881836, 68.97000122070312)","(39.75, 113.10000610351562, 95.58999633789062)","(33.30000305175781, 40.80000305175781, 92.20199584960938)","(44.10000228881836, 39.45000076293945, 94.37999725341797)","(10.350000381469727, 46.650001525878906, 83.24800109863281)","(-7.350000381469727, 40.35000228881836, 20.812000274658203)","(34.05000305175781, 46.80000305175781, 84.45800018310547)"
2,2022-12-11 17:54:05.400418,"(35.70000076293945, 51.30000305175781, 82.76399993896484)","(31.200000762939453, 42.30000305175781, 67.51799774169922)","(37.650001525878906, 112.05000305175781, 97.5260009765625)","(32.25, 42.150001525878906, 91.47599792480469)","(43.5, 39.45000076293945, 94.13800048828125)","(10.65000057220459, 45.75, 82.27999877929688)","(-8.550000190734863, 40.20000076293945, 21.780000686645508)","(34.650001525878906, 46.95000076293945, 84.94200134277344)"
3,2022-12-11 17:54:05.445316,"(34.650001525878906, 50.250003814697266, 84.69999694824219)","(32.55000305175781, 41.25, 66.30799865722656)","(37.5, 111.45000457763672, 97.76799774169922)","(29.55000114440918, 41.10000228881836, 90.50800323486328)","(43.95000076293945, 39.30000305175781, 93.65399932861328)","(10.5, 46.5, 81.31199645996094)","(-8.100000381469727, 41.10000228881836, 20.812000274658203)","(33.60000228881836, 46.35000228881836, 84.45800018310547)"
4,2022-12-11 17:54:05.490966,"(36.60000228881836, 51.45000076293945, 83.24800109863281)","(31.950000762939453, 40.650001525878906, 64.85600280761719)","(36.60000228881836, 112.35000610351562, 97.28399658203125)","(30.150001525878906, 41.10000228881836, 90.75)","(44.10000228881836, 39.60000228881836, 93.89599609375)","(10.200000762939453, 46.20000076293945, 82.27999877929688)","(-7.800000190734863, 39.900001525878906, 19.8439998626709)","(33.900001525878906, 46.95000076293945, 84.45800018310547)"
5,2022-12-11 17:54:05.580369,"(34.650001525878906, 51.60000228881836, 83.48999786376953)","(32.400001525878906, 41.85000228881836, 66.55000305175781)","(38.85000228881836, 111.45000457763672, 93.16999816894531)","(30.000001907348633, 42.30000305175781, 91.47599792480469)","(44.55000305175781, 39.30000305175781, 93.65399932861328)","(10.350000381469727, 46.05000305175781, 83.00599670410156)","(-8.100000381469727, 39.900001525878906, 20.086000442504883)","(34.35000228881836, 46.650001525878906, 84.69999694824219)"
6,2022-12-11 17:54:05.625380,"(35.25, 50.85000228881836, 82.27999877929688)","(33.150001525878906, 42.75, 67.76000213623047)","(38.25, 113.10000610351562, 95.83200073242188)","(32.55000305175781, 43.05000305175781, 91.23400115966797)","(44.25, 39.30000305175781, 93.65399932861328)","(10.350000381469727, 45.900001525878906, 82.03800201416016)","(-8.850000381469727, 40.05000305175781, 19.8439998626709)","(34.35000228881836, 46.650001525878906, 84.45800018310547)"
7,2022-12-11 17:54:05.670776,"(35.25, 51.000003814697266, 83.00599670410156)","(34.35000228881836, 42.60000228881836, 66.06600189208984)","(37.5, 111.9000015258789, 96.0739974975586)","(31.80000114440918, 40.80000305175781, 91.71800231933594)","(43.80000305175781, 39.150001525878906, 93.16999816894531)","(9.75, 45.60000228881836, 82.03800201416016)","(-9.0, 39.75, 19.601999282836914)","(33.75, 45.900001525878906, 84.94200134277344)"
8,2022-12-11 17:54:05.760427,"(33.75, 52.95000076293945, 79.61799621582031)","(30.30000114440918, 42.0, 66.06600189208984)","(37.35000228881836, 111.60000610351562, 95.58999633789062)","(32.55000305175781, 41.25, 90.50800323486328)","(44.10000228881836, 39.0, 93.65399932861328)","(9.75, 45.900001525878906, 81.55400085449219)","(-8.550000190734863, 40.35000228881836, 18.875999450683594)","(34.05000305175781, 46.35000228881836, 84.69999694824219)"
9,2022-12-11 17:54:05.805710,"(36.0, 49.95000076293945, 81.06999969482422)","(31.80000114440918, 41.25, 68.24400329589844)","(38.10000228881836, 113.10000610351562, 94.37999725341797)","(31.200000762939453, 42.0, 90.26599884033203)","(43.650001525878906, 39.150001525878906, 93.65399932861328)","(9.75, 45.900001525878906, 82.76399993896484)","(-9.0, 39.900001525878906, 19.601999282836914)","(33.75, 46.5, 84.45800018310547)"
10,2022-12-11 17:54:05.895608,"(35.400001525878906, 50.400001525878906, 83.73200225830078)","(31.650001525878906, 41.85000228881836, 67.2760009765625)","(37.20000076293945, 113.10000610351562, 96.55799865722656)","(30.000001907348633, 41.25, 90.26599884033203)","(43.80000305175781, 39.30000305175781, 93.89599609375)","(9.90000057220459, 46.35000228881836, 81.55400085449219)","(-8.40000057220459, 40.5, 21.053998947143555)","(34.05000305175781, 46.35000228881836, 84.45800018310547)"
11,2022-12-11 17:54:05.941016,"(32.55000305175781, 49.35000228881836, 80.8280029296875)","(31.950000762939453, 41.55000305175781, 67.2760009765625)","(36.30000305175781, 114.60000610351562, 95.58999633789062)","(29.55000114440918, 41.10000228881836, 89.05599975585938)","(43.95000076293945, 39.150001525878906, 93.65399932861328)","(9.90000057220459, 45.60000228881836, 82.52200317382812)","(-9.0, 39.30000305175781, 20.812000274658203)","(33.45000076293945, 46.35000228881836, 84.45800018310547)"
12,2022-12-11 17:54:05.985603,"(33.60000228881836, 51.000003814697266, 82.52200317382812)","(31.200000762939453, 41.25, 67.2760009765625)","(37.650001525878906, 112.50000762939453, 96.0739974975586)","(31.200000762939453, 40.5, 93.16999816894531)","(43.20000076293945, 39.150001525878906, 94.13800048828125)","(9.90000057220459, 45.75, 82.03800201416016)","(-9.450000762939453, 39.60000228881836, 21.053998947143555)","(32.70000076293945, 46.05000305175781, 84.94200134277344)"
13,2022-12-11 17:54:06.120831,"(31.80000114440918, 50.70000076293945, 82.03800201416016)","(31.200000762939453, 41.85000228881836, 63.1619987487793)","(36.45000076293945, 111.75000762939453, 95.3479995727539)","(30.450000762939453, 41.10000228881836, 93.89599609375)","(43.20000076293945, 38.85000228881836, 93.41200256347656)","(9.300000190734863, 45.45000076293945, 81.7959976196289)","(-9.90000057220459, 40.05000305175781, 20.812000274658203)","(32.85000228881836, 45.150001525878906, 84.45800018310547)"
14,2022-12-11 17:54:06.121900,"(33.30000305175781, 52.05000305175781, 81.31199645996094)","(31.500001907348633, 42.0, 66.55000305175781)","(37.35000228881836, 110.4000015258789, 96.0739974975586)","(30.150001525878906, 40.650001525878906, 91.71800231933594)","(43.20000076293945, 38.70000076293945, 94.37999725341797)","(9.450000762939453, 45.150001525878906, 82.52200317382812)","(-9.75, 39.75, 20.56999969482422)","(32.70000076293945, 45.60000228881836, 84.45800018310547)"
15,2022-12-11 17:54:06.165706,"(32.10000228881836, 46.95000076293945, 84.94200134277344)","(31.05000114440918, 40.05000305175781, 68.48600006103516)","(36.60000228881836, 111.75000762939453, 96.31600189208984)","(30.900001525878906, 41.10000228881836, 90.50800323486328)","(43.5, 38.70000076293945, 94.37999725341797)","(9.300000190734863, 45.45000076293945, 82.27999877929688)","(-10.050000190734863, 39.60000228881836, 22.263999938964844)","(32.70000076293945, 45.60000228881836, 84.94200134277344)"
16,2022-12-11 17:54:06.255654,"(35.10000228881836, 53.250003814697266, 82.52200317382812)","(32.25, 41.400001525878906, 68.24400329589844)","(35.85000228881836, 112.6500015258789, 97.04199981689453)","(30.900001525878906, 41.85000228881836, 91.47599792480469)","(43.650001525878906, 39.150001525878906, 94.37999725341797)","(9.450000762939453, 45.0, 82.76399993896484)","(-8.700000762939453, 38.70000076293945, 21.780000686645508)","(33.30000305175781, 46.05000305175781, 85.18399810791016)"
17,2022-12-11 17:54:06.300486,"(33.45000076293945, 51.60000228881836, 86.1520004272461)","(31.950000762939453, 41.55000305175781, 65.33999633789062)","(37.35000228881836, 112.20000457763672, 95.83200073242188)","(31.500001907348633, 41.55000305175781, 91.95999908447266)","(43.650001525878906, 39.0, 94.13800048828125)","(9.450000762939453, 45.60000228881836, 83.00599670410156)","(-9.600000381469727, 39.75, 21.780000686645508)","(33.45000076293945, 46.20000076293945, 85.18399810791016)"
18,2022-12-11 17:54:06.345784,"(35.10000228881836, 51.750003814697266, 84.21599578857422)","(29.700000762939453, 41.400001525878906, 68.48600006103516)","(36.150001525878906, 111.30000305175781, 97.28399658203125)","(30.750001907348633, 40.35000228881836, 92.20199584960938)","(43.80000305175781, 39.45000076293945, 94.13800048828125)","(9.600000381469727, 45.150001525878906, 83.24800109863281)","(-9.15000057220459, 39.900001525878906, 22.263999938964844)","(33.60000228881836, 46.05000305175781, 85.4260025024414)"
19,2022-12-11 17:54:06.435411,"(34.20000076293945, 50.85000228881836, 83.24800109863281)","(30.900001525878906, 42.0, 67.51799774169922)","(37.35000228881836, 112.80000305175781, 98.01000213623047)","(30.900001525878906, 41.70000076293945, 90.99199676513672)","(43.5, 38.70000076293945, 94.37999725341797)","(9.300000190734863, 45.75, 83.24800109863281)","(-9.75, 39.30000305175781, 22.02199935913086)","(32.85000228881836, 46.05000305175781, 85.66799926757812)"
20,2022-12-11 17:54:06.480456,"(33.45000076293945, 51.30000305175781, 83.24800109863281)","(31.05000114440918, 40.650001525878906, 68.72799682617188)","(36.75, 111.9000015258789, 97.28399658203125)","(30.900001525878906, 42.0, 90.75)","(43.5, 39.150001525878906, 94.37999725341797)","(9.450000762939453, 45.75, 82.52200317382812)","(-9.15000057220459, 39.30000305175781, 20.327999114990234)","(33.0, 45.75, 84.94200134277344)"
21,2022-12-11 17:54:06.615402,"(33.30000305175781, 49.80000305175781, 82.03800201416016)","(32.10000228881836, 41.55000305175781, 67.51799774169922)","(37.95000076293945, 112.35000610351562, 96.55799865722656)","(31.200000762939453, 40.5, 92.20199584960938)","(43.5, 38.85000228881836, 93.65399932861328)","(9.15000057220459, 45.60000228881836, 82.76399993896484)","(-9.15000057220459, 40.05000305175781, 21.29599952697754)","(33.45000076293945, 46.5, 84.21599578857422)"
22,2022-12-11 17:54:06.660415,"(35.85000228881836, 51.000003814697266, 83.00599670410156)","(32.400001525878906, 42.30000305175781, 67.76000213623047)","(37.05000305175781, 112.35000610351562, 98.4939956665039)","(32.55000305175781, 41.10000228881836, 91.47599792480469)","(43.80000305175781, 39.30000305175781, 93.65399932861328)","(9.450000762939453, 46.05000305175781, 82.27999877929688)","(-9.600000381469727, 39.60000228881836, 21.538000106811523)","(33.45000076293945, 46.20000076293945, 85.18399810791016)"
23,2022-12-11 17:54:06.661535,"(34.80000305175781, 51.60000228881836, 84.21599578857422)","(32.70000076293945, 42.45000076293945, 65.58200073242188)","(37.80000305175781, 115.35000610351562, 97.28399658203125)","(31.650001525878906, 42.30000305175781, 93.65399932861328)","(44.25, 39.30000305175781, 93.65399932861328)","(10.050000190734863, 45.45000076293945, 82.76399993896484)","(-8.25, 40.5, 20.56999969482422)","(33.60000228881836, 46.95000076293945, 84.94200134277344)"
24,2022-12-11 17:54:06.750425,"(35.10000228881836, 51.150001525878906, 82.27999877929688)","(32.55000305175781, 41.10000228881836, 68.97000122070312)","(37.80000305175781, 112.20000457763672, 98.01000213623047)","(33.75, 43.05000305175781, 91.47599792480469)","(44.25, 40.05000305175781, 93.89599609375)","(10.950000762939453, 45.900001525878906, 83.24800109863281)","(-7.800000190734863, 40.95000076293945, 21.053998947143555)","(34.80000305175781, 46.650001525878906, 85.18399810791016)"
25,2022-12-11 17:54:06.795848,"(35.55000305175781, 50.10000228881836, 82.52200317382812)","(34.20000076293945, 42.150001525878906, 66.79199981689453)","(39.75, 112.05000305175781, 93.16999816894531)","(33.0, 41.70000076293945, 89.78199768066406)","(45.0, 39.0, 93.89599609375)","(11.40000057220459, 46.5, 82.76399993896484)","(-6.300000190734863, 40.95000076293945, 20.812000274658203)","(35.25, 47.10000228881836, 84.21599578857422)"
26,2022-12-11 17:54:06.840359,"(37.5, 50.70000076293945, 85.18399810791016)","(34.80000305175781, 41.70000076293945, 68.24400329589844)","(39.900001525878906, 112.35000610351562, 96.80000305175781)","(32.85000228881836, 41.55000305175781, 91.47599792480469)","(45.0, 39.150001525878906, 93.89599609375)","(12.90000057220459, 46.650001525878906, 82.52200317382812)","(-4.800000190734863, 41.55000305175781, 21.29599952697754)","(36.150001525878906, 47.70000076293945, 85.18399810791016)"
27,2022-12-11 17:54:06.930335,"(37.80000305175781, 50.10000228881836, 80.8280029296875)","(34.20000076293945, 41.55000305175781, 66.06600189208984)","(40.05000305175781, 112.80000305175781, 97.04199981689453)","(35.10000228881836, 42.900001525878906, 91.23400115966797)","(45.60000228881836, 39.75, 93.16999816894531)","(13.500000953674316, 47.10000228881836, 83.00599670410156)","(-4.650000095367432, 41.55000305175781, 20.812000274658203)","(37.80000305175781, 47.25, 85.66799926757812)"
28,2022-12-11 17:54:07.020382,"(40.5, 51.750003814697266, 83.48999786376953)","(37.5, 41.400001525878906, 65.8239974975586)","(39.150001525878906, 112.35000610351562, 95.58999633789062)","(34.650001525878906, 41.85000228881836, 90.26599884033203)","(46.20000076293945, 39.60000228881836, 94.13800048828125)","(13.050000190734863, 47.400001525878906, 82.52200317382812)","(-4.350000381469727, 41.10000228881836, 21.053998947143555)","(36.900001525878906, 47.55000305175781, 85.4260025024414)"
29,2022-12-11 17:54:07.065282,"(38.10000228881836, 52.20000076293945, 81.06999969482422)","(35.55000305175781, 43.20000076293945, 68.97000122070312)","(40.650001525878906, 112.80000305175781, 95.3479995727539)","(35.400001525878906, 42.60000228881836, 89.78199768066406)","(45.900001525878906, 40.05000305175781, 92.9280014038086)","(13.950000762939453, 46.650001525878906, 83.48999786376953)","(-4.050000190734863, 41.400001525878906, 22.506000518798828)","(37.650001525878906, 47.25, 85.66799926757812)"
30,2022-12-11 17:54:07.110548,"(40.20000076293945, 51.000003814697266, 81.06999969482422)","(34.80000305175781, 41.55000305175781, 66.55000305175781)","(40.80000305175781, 113.10000610351562, 94.37999725341797)","(35.25, 41.10000228881836, 89.78199768066406)","(46.20000076293945, 40.35000228881836, 93.89599609375)","(13.800000190734863, 47.70000076293945, 82.52200317382812)","(-2.8500001430511475, 41.85000228881836, 19.8439998626709)","(37.95000076293945, 47.70000076293945, 84.94200134277344)"
31,2022-12-11 17:54:07.155448,"(40.80000305175781, 49.20000076293945, 83.48999786376953)","(36.0, 40.95000076293945, 66.55000305175781)","(41.10000228881836, 112.50000762939453, 95.83200073242188)","(36.900001525878906, 42.45000076293945, 90.02400207519531)","(46.650001525878906, 40.5, 93.89599609375)","(14.250000953674316, 47.55000305175781, 82.52200317382812)","(-3.1500000953674316, 42.0, 20.812000274658203)","(39.0, 47.85000228881836, 84.69999694824219)"
32,2022-12-11 17:54:07.245844,"(41.400001525878906, 50.10000228881836, 82.03800201416016)","(38.400001525878906, 42.150001525878906, 65.8239974975586)","(41.400001525878906, 113.4000015258789, 94.86399841308594)","(37.650001525878906, 42.30000305175781, 88.81400299072266)","(47.10000228881836, 39.60000228881836, 93.41200256347656)","(15.000000953674316, 47.70000076293945, 82.52200317382812)","(-2.25, 42.30000305175781, 20.812000274658203)","(39.150001525878906, 48.30000305175781, 83.9739990234375)"
