,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 19:23:19.142334,"(47.55000305175781, 48.0, 93.65399932861328)","(46.05000305175781, 42.0, 76.71399688720703)","(48.750003814697266, 110.4000015258789, 104.78600311279297)","(44.25, 40.35000228881836, 97.76799774169922)","(56.250003814697266, 40.5, 100.18799591064453)","(27.000001907348633, 46.80000305175781, 89.54000091552734)","(17.100000381469727, 40.650001525878906, 33.15399932861328)","(53.70000076293945, 47.400001525878906, 94.13800048828125)"
1,2022-12-11 19:23:19.187280,"(48.45000076293945, 46.650001525878906, 91.71800231933594)","(47.10000228881836, 42.150001525878906, 76.47200012207031)","(51.30000305175781, 112.05000305175781, 105.2699966430664)","(44.25, 38.25, 98.25199890136719)","(57.000003814697266, 40.5, 100.91400146484375)","(27.450000762939453, 46.5, 89.2979965209961)","(18.0, 40.35000228881836, 31.218000411987305)","(54.45000076293945, 46.650001525878906, 94.37999725341797)"
2,2022-12-11 19:23:19.232465,"(50.10000228881836, 47.55000305175781, 92.44400024414062)","(46.95000076293945, 41.70000076293945, 77.197998046875)","(51.750003814697266, 111.1500015258789, 103.09200286865234)","(46.35000228881836, 39.150001525878906, 97.76799774169922)","(57.750003814697266, 40.650001525878906, 100.43000030517578)","(29.55000114440918, 47.10000228881836, 88.08799743652344)","(20.100000381469727, 39.45000076293945, 33.15399932861328)","(56.10000228881836, 46.650001525878906, 94.13800048828125)"
3,2022-12-11 19:23:19.322247,"(51.900001525878906, 47.55000305175781, 92.44400024414062)","(49.05000305175781, 42.60000228881836, 76.95600128173828)","(53.400001525878906, 109.6500015258789, 102.8499984741211)","(46.20000076293945, 38.70000076293945, 95.83200073242188)","(58.05000305175781, 40.35000228881836, 99.94599914550781)","(30.000001907348633, 45.75, 88.33000183105469)","(22.05000114440918, 39.45000076293945, 31.218000411987305)","(57.45000076293945, 46.95000076293945, 93.65399932861328)"
4,2022-12-11 19:23:19.367746,"(51.750003814697266, 46.80000305175781, 90.75)","(50.85000228881836, 43.05000305175781, 75.0199966430664)","(52.80000305175781, 111.60000610351562, 105.51200103759766)","(48.750003814697266, 39.150001525878906, 95.10600280761719)","(58.80000305175781, 40.5, 99.94599914550781)","(31.500001907348633, 46.650001525878906, 87.84600067138672)","(22.200000762939453, 38.70000076293945, 30.733999252319336)","(58.05000305175781, 46.80000305175781, 92.44400024414062)"
5,2022-12-11 19:23:19.457258,"(52.05000305175781, 45.75, 89.2979965209961)","(52.650001525878906, 41.55000305175781, 76.47200012207031)","(54.60000228881836, 110.70000457763672, 101.39800262451172)","(48.900001525878906, 38.55000305175781, 95.3479995727539)","(59.250003814697266, 40.5, 99.22000122070312)","(31.950000762939453, 46.05000305175781, 87.12000274658203)","(24.150001525878906, 39.30000305175781, 29.03999900817871)","(58.650001525878906, 46.5, 91.47599792480469)"
6,2022-12-11 19:23:19.502163,"(52.20000076293945, 48.30000305175781, 86.63600158691406)","(49.95000076293945, 41.10000228881836, 72.35800170898438)","(57.000003814697266, 112.35000610351562, 100.91400146484375)","(49.80000305175781, 38.400001525878906, 93.41200256347656)","(59.85000228881836, 40.35000228881836, 98.73600006103516)","(32.85000228881836, 46.05000305175781, 85.90999603271484)","(25.05000114440918, 39.150001525878906, 28.07200050354004)","(59.85000228881836, 46.05000305175781, 90.02400207519531)"
7,2022-12-11 19:23:19.547126,"(56.85000228881836, 46.95000076293945, 86.39399719238281)","(53.70000076293945, 41.55000305175781, 74.77799987792969)","(57.750003814697266, 110.4000015258789, 100.6719970703125)","(50.70000076293945, 38.85000228881836, 93.16999816894531)","(60.150001525878906, 39.900001525878906, 98.01000213623047)","(33.60000228881836, 45.75, 85.4260025024414)","(25.650001525878906, 38.85000228881836, 25.652000427246094)","(60.150001525878906, 45.45000076293945, 89.78199768066406)"
8,2022-12-11 19:23:19.637216,"(55.05000305175781, 49.05000305175781, 85.4260025024414)","(54.30000305175781, 43.05000305175781, 71.14800262451172)","(58.05000305175781, 111.1500015258789, 98.25199890136719)","(51.150001525878906, 38.55000305175781, 92.68599700927734)","(60.000003814697266, 40.35000228881836, 97.5260009765625)","(34.20000076293945, 45.900001525878906, 83.73200225830078)","(26.700000762939453, 38.55000305175781, 23.95800018310547)","(61.650001525878906, 45.60000228881836, 87.36199951171875)"
9,2022-12-11 19:23:19.682490,"(55.500003814697266, 46.5, 85.4260025024414)","(52.80000305175781, 41.55000305175781, 73.08399963378906)","(57.150001525878906, 111.1500015258789, 97.5260009765625)","(51.750003814697266, 40.35000228881836, 90.75)","(61.05000305175781, 40.5, 95.83200073242188)","(34.80000305175781, 45.900001525878906, 82.76399993896484)","(27.150001525878906, 38.400001525878906, 22.263999938964844)","(61.650001525878906, 46.05000305175781, 86.1520004272461)"
