,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:59:17.292317,"(76.5, 69.9000015258789, 89.54000091552734)","(45.60000228881836, 48.60000228881836, 76.95600128173828)","(48.30000305175781, 116.4000015258789, 109.6259994506836)","(55.35000228881836, 45.150001525878906, 100.18799591064453)","(40.5, 33.0, 90.50800323486328)","(1.2000000476837158, 28.650001525878906, 66.55000305175781)","(-21.30000114440918, 30.750001907348633, 12.826000213623047)","(7.800000190734863, 44.400001525878906, 60.98400115966797)"
1,2022-12-11 17:59:17.382233,"(74.4000015258789, 69.60000610351562, 88.08799743652344)","(48.750003814697266, 48.900001525878906, 78.89199829101562)","(48.60000228881836, 116.25000762939453, 108.17399597167969)","(57.000003814697266, 43.650001525878906, 102.8499984741211)","(40.5, 32.85000228881836, 90.26599884033203)","(1.2000000476837158, 28.80000114440918, 66.79199981689453)","(-21.600000381469727, 31.200000762939453, 12.583999633789062)","(8.40000057220459, 44.70000076293945, 60.742000579833984)"
2,2022-12-11 17:59:17.426641,"(75.1500015258789, 70.80000305175781, 90.02400207519531)","(46.05000305175781, 48.0, 78.89199829101562)","(48.150001525878906, 116.85000610351562, 108.9000015258789)","(56.400001525878906, 43.35000228881836, 102.60800170898438)","(40.20000076293945, 33.0, 89.78199768066406)","(1.0500000715255737, 29.100000381469727, 66.30799865722656)","(-21.30000114440918, 30.30000114440918, 11.131999969482422)","(8.40000057220459, 44.70000076293945, 60.742000579833984)"
3,2022-12-11 17:59:17.471733,"(75.30000305175781, 69.9000015258789, 86.1520004272461)","(47.85000228881836, 46.35000228881836, 76.95600128173828)","(49.35000228881836, 116.70000457763672, 106.23799896240234)","(56.250003814697266, 43.80000305175781, 103.09200286865234)","(40.20000076293945, 33.150001525878906, 90.50800323486328)","(1.2000000476837158, 28.200000762939453, 66.79199981689453)","(-22.350000381469727, 30.600000381469727, 10.163999557495117)","(8.25, 44.70000076293945, 60.5)"
4,2022-12-11 17:59:17.562179,"(78.60000610351562, 68.10000610351562, 89.05599975585938)","(47.25, 47.400001525878906, 79.13400268554688)","(47.70000076293945, 114.75000762939453, 104.78600311279297)","(58.05000305175781, 44.55000305175781, 101.63999938964844)","(40.20000076293945, 33.0, 90.02400207519531)","(1.0500000715255737, 28.500001907348633, 67.2760009765625)","(-21.450000762939453, 31.05000114440918, 12.342000007629395)","(8.550000190734863, 44.70000076293945, 60.5)"
5,2022-12-11 17:59:17.606691,"(74.70000457763672, 69.30000305175781, 88.5719985961914)","(47.10000228881836, 49.95000076293945, 78.40799713134766)","(49.650001525878906, 115.05000305175781, 109.14199829101562)","(57.150001525878906, 45.45000076293945, 104.05999755859375)","(39.75, 33.0, 90.02400207519531)","(1.350000023841858, 28.650001525878906, 66.55000305175781)","(-22.350000381469727, 30.750001907348633, 11.857999801635742)","(8.40000057220459, 44.55000305175781, 60.98400115966797)"
6,2022-12-11 17:59:17.651867,"(76.05000305175781, 68.4000015258789, 90.99199676513672)","(47.400001525878906, 48.30000305175781, 76.2300033569336)","(48.45000076293945, 114.1500015258789, 106.96399688720703)","(55.80000305175781, 42.30000305175781, 104.05999755859375)","(40.20000076293945, 33.150001525878906, 90.26599884033203)","(1.2000000476837158, 29.250001907348633, 66.55000305175781)","(-21.900001525878906, 31.05000114440918, 11.131999969482422)","(7.950000286102295, 44.25, 61.709999084472656)"
7,2022-12-11 17:59:17.741831,"(75.60000610351562, 70.6500015258789, 92.44400024414062)","(47.25, 47.25, 76.71399688720703)","(47.25, 115.35000610351562, 106.47999572753906)","(57.750003814697266, 44.25, 103.81800079345703)","(40.05000305175781, 33.150001525878906, 89.78199768066406)","(1.8000000715255737, 28.650001525878906, 67.03399658203125)","(-21.900001525878906, 31.05000114440918, 12.100000381469727)","(8.25, 44.70000076293945, 60.01599884033203)"
8,2022-12-11 17:59:17.786639,"(74.25, 67.95000457763672, 88.5719985961914)","(45.75, 48.45000076293945, 76.71399688720703)","(49.80000305175781, 115.95000457763672, 109.14199829101562)","(56.10000228881836, 43.5, 102.8499984741211)","(40.5, 33.0, 90.26599884033203)","(0.9000000357627869, 28.650001525878906, 66.06600189208984)","(-22.05000114440918, 30.450000762939453, 12.342000007629395)","(8.25, 44.400001525878906, 61.22599792480469)"
9,2022-12-11 17:59:17.876593,"(76.35000610351562, 69.60000610351562, 89.2979965209961)","(47.10000228881836, 48.60000228881836, 77.197998046875)","(49.20000076293945, 117.1500015258789, 107.93199920654297)","(57.000003814697266, 42.150001525878906, 101.88199615478516)","(40.35000228881836, 33.0, 89.2979965209961)","(1.0500000715255737, 28.80000114440918, 67.2760009765625)","(-21.900001525878906, 30.600000381469727, 11.857999801635742)","(7.800000190734863, 44.70000076293945, 60.98400115966797)"
10,2022-12-11 17:59:17.921683,"(75.75, 67.5, 86.87799835205078)","(46.80000305175781, 48.750003814697266, 76.2300033569336)","(48.750003814697266, 115.20000457763672, 107.69000244140625)","(55.95000076293945, 44.70000076293945, 102.60800170898438)","(40.35000228881836, 33.30000305175781, 89.54000091552734)","(1.350000023841858, 28.500001907348633, 66.30799865722656)","(-21.30000114440918, 30.450000762939453, 12.583999633789062)","(8.25, 45.0, 60.98400115966797)"
11,2022-12-11 17:59:17.967341,"(76.05000305175781, 70.80000305175781, 85.18399810791016)","(46.95000076293945, 49.35000228881836, 80.34400177001953)","(49.80000305175781, 117.00000762939453, 106.72200012207031)","(54.60000228881836, 43.80000305175781, 103.09200286865234)","(40.20000076293945, 33.30000305175781, 90.26599884033203)","(1.350000023841858, 28.950000762939453, 66.55000305175781)","(-21.900001525878906, 30.30000114440918, 12.100000381469727)","(8.100000381469727, 44.85000228881836, 61.709999084472656)"
12,2022-12-11 17:59:18.056415,"(76.80000305175781, 70.6500015258789, 89.05599975585938)","(48.900001525878906, 49.500003814697266, 78.40799713134766)","(48.45000076293945, 116.85000610351562, 109.38400268554688)","(55.80000305175781, 44.70000076293945, 103.09200286865234)","(40.05000305175781, 32.85000228881836, 89.2979965209961)","(1.0500000715255737, 29.400001525878906, 66.79199981689453)","(-21.900001525878906, 31.05000114440918, 11.37399959564209)","(7.800000190734863, 45.30000305175781, 60.5)"
13,2022-12-11 17:59:18.101909,"(76.05000305175781, 69.30000305175781, 86.87799835205078)","(44.400001525878906, 48.60000228881836, 77.44000244140625)","(48.750003814697266, 116.55000305175781, 108.41600036621094)","(55.500003814697266, 43.05000305175781, 103.33399963378906)","(40.35000228881836, 33.30000305175781, 90.50800323486328)","(1.5, 28.650001525878906, 67.51799774169922)","(-22.5, 31.05000114440918, 11.37399959564209)","(8.100000381469727, 44.400001525878906, 60.257999420166016)"
14,2022-12-11 17:59:18.191572,"(76.05000305175781, 68.85000610351562, 90.26599884033203)","(46.80000305175781, 46.05000305175781, 77.197998046875)","(47.25, 116.4000015258789, 105.51200103759766)","(55.80000305175781, 44.400001525878906, 101.63999938964844)","(40.20000076293945, 32.85000228881836, 90.26599884033203)","(0.75, 28.950000762939453, 67.2760009765625)","(-22.350000381469727, 30.750001907348633, 12.342000007629395)","(7.800000190734863, 44.25, 60.01599884033203)"
15,2022-12-11 17:59:18.236633,"(73.95000457763672, 69.0, 90.26599884033203)","(46.20000076293945, 49.80000305175781, 77.68199920654297)","(48.60000228881836, 115.6500015258789, 108.17399597167969)","(58.35000228881836, 44.10000228881836, 103.09200286865234)","(39.900001525878906, 33.0, 90.02400207519531)","(0.9000000357627869, 28.500001907348633, 66.30799865722656)","(-21.450000762939453, 31.500001907348633, 12.826000213623047)","(8.100000381469727, 44.55000305175781, 60.742000579833984)"
16,2022-12-11 17:59:18.281468,"(75.9000015258789, 69.60000610351562, 88.5719985961914)","(46.95000076293945, 47.85000228881836, 79.13400268554688)","(48.45000076293945, 116.25000762939453, 106.23799896240234)","(55.35000228881836, 43.5, 102.36599731445312)","(40.5, 32.55000305175781, 89.54000091552734)","(1.8000000715255737, 29.100000381469727, 67.2760009765625)","(-21.75, 30.750001907348633, 11.616000175476074)","(7.800000190734863, 45.0, 60.742000579833984)"
17,2022-12-11 17:59:18.326562,"(74.70000457763672, 67.95000457763672, 90.26599884033203)","(48.750003814697266, 48.30000305175781, 76.47200012207031)","(48.60000228881836, 114.75000762939453, 108.17399597167969)","(55.500003814697266, 43.80000305175781, 104.05999755859375)","(40.05000305175781, 33.0, 90.02400207519531)","(1.350000023841858, 28.80000114440918, 67.51799774169922)","(-21.30000114440918, 30.750001907348633, 11.857999801635742)","(7.950000286102295, 44.85000228881836, 60.5)"
18,2022-12-11 17:59:18.417036,"(74.70000457763672, 68.55000305175781, 90.26599884033203)","(47.10000228881836, 48.0, 76.71399688720703)","(46.80000305175781, 115.95000457763672, 110.35199737548828)","(56.70000076293945, 44.55000305175781, 102.36599731445312)","(40.80000305175781, 32.55000305175781, 90.26599884033203)","(1.350000023841858, 29.250001907348633, 67.03399658203125)","(-21.30000114440918, 30.750001907348633, 12.826000213623047)","(8.100000381469727, 45.150001525878906, 60.98400115966797)"
