,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 19:26:56.267975,"(15.750000953674316, 31.500001907348633, 113.98200225830078)","(24.150001525878906, 33.45000076293945, 83.73200225830078)","(22.5, 105.30000305175781, 107.69000244140625)","(10.800000190734863, 43.20000076293945, 114.46599578857422)","(45.900001525878906, 36.150001525878906, 90.02400207519531)","(10.350000381469727, 33.30000305175781, 60.5)","(-12.300000190734863, 34.05000305175781, 6.533999919891357)","(22.950000762939453, 49.500003814697266, 61.22599792480469)"
1,2022-12-11 19:26:56.357610,"(16.950000762939453, 30.900001525878906, 113.98200225830078)","(24.750001907348633, 32.55000305175781, 81.7959976196289)","(23.25, 107.10000610351562, 109.14199829101562)","(8.850000381469727, 42.900001525878906, 115.19200134277344)","(45.900001525878906, 36.45000076293945, 89.54000091552734)","(10.200000762939453, 33.45000076293945, 60.257999420166016)","(-12.450000762939453, 34.35000228881836, 7.986000061035156)","(22.80000114440918, 49.80000305175781, 61.46799850463867)"
2,2022-12-11 19:26:56.403047,"(18.30000114440918, 32.10000228881836, 114.94999694824219)","(22.80000114440918, 32.55000305175781, 83.73200225830078)","(23.700000762939453, 106.20000457763672, 109.86799621582031)","(10.050000190734863, 43.20000076293945, 114.2239990234375)","(46.35000228881836, 36.60000228881836, 90.26599884033203)","(10.65000057220459, 33.75, 60.742000579833984)","(-12.300000190734863, 34.650001525878906, 7.74399995803833)","(22.350000381469727, 49.650001525878906, 61.22599792480469)"
3,2022-12-11 19:26:56.447719,"(20.55000114440918, 31.05000114440918, 113.73999786376953)","(23.55000114440918, 31.650001525878906, 81.7959976196289)","(24.150001525878906, 106.80000305175781, 108.17399597167969)","(8.550000190734863, 43.35000228881836, 113.49800109863281)","(46.20000076293945, 36.150001525878906, 90.02400207519531)","(11.100000381469727, 33.75, 60.257999420166016)","(-12.750000953674316, 34.95000076293945, 8.227999687194824)","(22.350000381469727, 49.80000305175781, 60.742000579833984)"
4,2022-12-11 19:26:56.538096,"(18.450000762939453, 28.350000381469727, 115.43399810791016)","(23.25, 34.05000305175781, 83.48999786376953)","(21.900001525878906, 106.80000305175781, 105.99600219726562)","(9.75, 42.30000305175781, 112.77200317382812)","(45.900001525878906, 36.45000076293945, 90.26599884033203)","(10.800000190734863, 33.900001525878906, 60.98400115966797)","(-12.750000953674316, 34.20000076293945, 7.259999752044678)","(22.350000381469727, 49.35000228881836, 61.22599792480469)"
5,2022-12-11 19:26:56.582811,"(17.700000762939453, 30.450000762939453, 115.43399810791016)","(25.650001525878906, 33.75, 83.24800109863281)","(22.950000762939453, 107.55000305175781, 108.9000015258789)","(10.5, 44.70000076293945, 113.98200225830078)","(46.20000076293945, 36.45000076293945, 90.26599884033203)","(11.25, 33.30000305175781, 60.257999420166016)","(-12.600000381469727, 34.5, 7.74399995803833)","(23.100000381469727, 49.35000228881836, 60.98400115966797)"
6,2022-12-11 19:26:56.672998,"(17.850000381469727, 31.650001525878906, 116.15999603271484)","(24.0, 33.45000076293945, 83.9739990234375)","(22.200000762939453, 107.10000610351562, 108.9000015258789)","(8.850000381469727, 44.10000228881836, 112.77200317382812)","(45.900001525878906, 36.30000305175781, 89.54000091552734)","(10.950000762939453, 33.150001525878906, 60.742000579833984)","(-13.350000381469727, 34.05000305175781, 7.986000061035156)","(22.350000381469727, 49.500003814697266, 61.22599792480469)"
7,2022-12-11 19:26:56.717731,"(19.200000762939453, 32.70000076293945, 114.94999694824219)","(26.55000114440918, 34.05000305175781, 83.24800109863281)","(21.75, 106.35000610351562, 109.38400268554688)","(9.450000762939453, 44.25, 114.70800018310547)","(45.900001525878906, 36.60000228881836, 89.78199768066406)","(11.40000057220459, 34.05000305175781, 60.98400115966797)","(-12.15000057220459, 34.80000305175781, 7.01800012588501)","(22.80000114440918, 48.900001525878906, 60.98400115966797)"
8,2022-12-11 19:26:56.762792,"(17.25, 31.650001525878906, 114.46599578857422)","(25.500001907348633, 32.400001525878906, 83.9739990234375)","(23.400001525878906, 107.10000610351562, 109.38400268554688)","(8.100000381469727, 43.80000305175781, 114.94999694824219)","(46.80000305175781, 36.0, 90.50800323486328)","(10.800000190734863, 34.20000076293945, 60.742000579833984)","(-12.600000381469727, 33.75, 7.74399995803833)","(23.100000381469727, 49.650001525878906, 60.98400115966797)"
9,2022-12-11 19:26:56.852924,"(17.100000381469727, 31.650001525878906, 115.19200134277344)","(24.750001907348633, 32.400001525878906, 85.66799926757812)","(23.55000114440918, 106.6500015258789, 108.17399597167969)","(10.950000762939453, 42.60000228881836, 114.70800018310547)","(45.45000076293945, 36.45000076293945, 89.78199768066406)","(10.800000190734863, 33.60000228881836, 61.46799850463867)","(-11.850000381469727, 35.25, 7.01800012588501)","(22.950000762939453, 49.500003814697266, 61.22599792480469)"
